Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
THE ROOTS,8.0,15.0,7.0,0.5333333333333333
DOPE,7.0,121.0,88.0,0.05785123966942149
THE STREETS,6.0,12.0,11.0,0.5
ATMOSPHERE - LITTLE MAN,5.0,0.0,,inf
D12,4.0,7.0,7.0,0.5714285714285714
FREDO BANG - NO LOVE,4.0,0.0,,inf
ONYX - WALK,4.0,0.0,,inf
CELLA DWELLAS - MAIN AIM,3.0,0.0,,inf
ODD FUTURE - DOMS,3.0,0.0,,inf
ONYX,2.0,17.0,,0.11764705882352941
BLACK STAR,2.0,5.0,,0.4
DEATH GRIPS,2.0,5.0,5.0,0.4
NAUGHTY BY NATURE,2.0,4.0,2.0,0.5
PUBLIC ENEMY,2.0,4.0,2.0,0.5
BROCKHAMPTON,2.0,2.0,,1.0
THE PHARCYDE,2.0,2.0,2.0,1.0
NAUGHTY BY NATURE - FEEL ME FLOW,2.0,0.0,,inf
GAMBINO,1.0,29.0,,0.034482758620689655
ATMOSPHERE,1.0,16.0,,0.0625
2 CHAINZ,1.0,14.0,,0.07142857142857142
A TRIBE CALLED QUEST,1.0,9.0,5.0,0.1111111111111111
MOBB DEEP,1.0,8.0,4.0,0.125
T PAIN,1.0,6.0,,0.16666666666666666
SWEDISH HOUSE MAFIA,1.0,5.0,,0.2
THE 80S,1.0,5.0,,0.2
FILET - O - FISH,1.0,4.0,,0.25
LITTLE BROTHER,1.0,3.0,,0.3333333333333333
THE FIRM,1.0,3.0,,0.3333333333333333
WHY ?,1.0,3.0,,0.3333333333333333
BLUE LAB BEATS,1.0,2.0,,0.5
JUICE CREW,1.0,2.0,2.0,0.5
M.O.P.,1.0,2.0,2.0,0.5
ANGEL DUST,1.0,1.0,,1.0
BAD MEETS EVIL,1.0,1.0,,1.0
BLONDIE,1.0,1.0,1.0,1.0
CHINESE DEMOCRACY,1.0,1.0,,1.0
CITY MORGUE,1.0,1.0,1.0,1.0
CODEINE CRAZY,1.0,1.0,,1.0
DOPE FLAVORS,1.0,1.0,,1.0
FORT MINOR,1.0,1.0,1.0,1.0
ODD GODD,1.0,1.0,,1.0
ODD TAPE,1.0,1.0,,1.0
RED HOT CHILI PEPPERS,1.0,1.0,1.0,1.0
SOME ARGUE JETHRO TULL,1.0,1.0,,1.0
THE SAUCE,1.0,1.0,,1.0
TWIZTID,1.0,1.0,1.0,1.0
UNKNOWN MORTAL,1.0,1.0,,1.0
WHY APPLE MUSIC,1.0,1.0,,1.0
WHY WONDERING WHY NO SOUND,1.0,1.0,,1.0
WILD STYLE BREAKBEATS,1.0,1.0,,1.0
A TRIBE CALLED QUEST - WHATEVA,1.0,0.0,,inf
AMINÉ - ROOTS,1.0,0.0,,inf
CAPONE-N-NOREAGA - BLACK GANGSTAS,1.0,0.0,,inf
CLAMS CASINO - CRYSTALS,1.0,0.0,,inf
COOKIN SOUL - LA RETAHÍLA - SAUCE WALKA,1.0,0.0,,inf
D12 - LOYALTY,1.0,0.0,,inf
DE LA SOUL - DE LA SOUL,1.0,0.0,,inf
DIGABLE PLANETS - JETTIN,1.0,0.0,,inf
DREAM WIDOW - COLD,1.0,0.0,,inf
FREDO BANG - NO LOVE FEAT,1.0,0.0,,inf
FREDO BANG - TWO - FACE BANG 2,1.0,0.0,,inf
GORILLAZ - HUMANZ,1.0,0.0,,inf
ONYX - BACDAFUCUP,1.0,0.0,,inf
SKATEBOARD WEEZY - FUNERAL FEATURES - WEEZY FLOW - WEEZY,1.0,0.0,,inf
STONE TEMPLE PILOTS - BIG BANG BABY,1.0,0.0,,inf
TERROR SQUAD - FEELIN,1.0,0.0,,inf
TERROR TONGUE - LYRICAL THREAT,1.0,0.0,,inf
THE BEATNUTS - 2 -,1.0,0.0,,inf
ARMS,,,4.0,
ASTR,,,16.0,
BACK-ON,,,1.0,
BALANCE,,,4.0,
BEAST COAST,,,1.0,
BLACK EYED PEAS,,,1.0,
BLACK MARKET MILITIA,,,1.0,
BLACKALICIOUS,,,1.0,
BOOGIE DOWN PRODUCTIONS,,,1.0,
CANNIBAL OX,,,1.0,
CAPONE-N-NOREAGA,,,1.0,
CELLA DWELLAS,,,2.0,
CHIDDY BANG,,,1.0,
CODEINE,,,1.0,
CYNE,,,1.0,
DE LA SOUL,,,3.0,
DIGABLE PLANETS,,,1.0,
DUST,,,21.0,
EVEN WORSE,,,1.0,
FADE,,,6.0,
FLATBUSH ZOMBIES,,,1.0,
FUN,,,100.0,
G-UNIT,,,7.0,
GORILLAZ,,,1.0,
GROWING,,,8.0,
IIO,,,2.0,
ISM,,,26.0,
IVY,,,1.0,
JUNGLE BROTHERS,,,2.0,
JUNIOR M.A.F.I.A.,,,1.0,
JURASSIC 5,,,1.0,
KISS,,,10.0,
LAWRENCE,,,1.0,
LEAK BROS,,,1.0,
LINKIN PARK,,,1.0,
LISA LISA AND CULT JAM,,,1.0,
LOST BOYZ,,,1.0,
MARS,,,13.0,
MELON,,,2.0,
MINK,,,1.0,
NEW YORK CITY,,,1.0,
ODD FUTURE,,,1.0,
ORGANIZED KONFUSION,,,2.0,
PAK,,,3.0,
PASSION,,,9.0,
"PETER, PAUL AND MARY",,,1.0,
RAGE AGAINST THE MACHINE,,,5.0,
SAMMY,,,7.0,
SKATERS,,,2.0,
SMIF-N-WESSUN,,,1.0,
SOFT,,,11.0,
SOULS OF MISCHIEF,,,2.0,
SPILLAGE VILLAGE,,,3.0,
STORIES,,,7.0,
STREET,,,31.0,
SUBZERO,,,3.0,
SUICIDE,,,4.0,
SUICIDEBOYS,,,1.0,
TALKING HEADS,,,2.0,
TELEVISION,,,2.0,
TH6,,,1.0,
THE BEATNUTS,,,2.0,
THE COOL KIDS,,,5.0,
THE INK SPOTS,,,1.0,
THE SCORE,,,1.0,
UI,,,212.0,
UNIFORM,,,1.0,
VERSUS,,,3.0,
WARZONE,,,1.0,
WEEP,,,1.0,
WITH YOU.,,,4.0,
WU-TANG CLAN,,,1.0,
