Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
LONG COVID,128.0,154.0,106.0,0.8311688311688312
INFLUENZA,51.0,72.0,44.0,0.7083333333333334
POLIO,27.0,31.0,19.0,0.8709677419354839
MEASLES,23.0,25.0,21.0,0.92
LONG - COVID,8.0,22.0,,0.36363636363636365
TUBERCULOSIS,4.0,6.0,4.0,0.6666666666666666
TETANUS,4.0,4.0,4.0,1.0
WASTEWATER TESTING,3.0,8.0,,0.375
HEPATITIS B,3.0,6.0,4.0,0.5
MALARIA,3.0,6.0,4.0,0.5
CHOLERA,3.0,3.0,2.0,1.0
PRECAUTIONARY PRINCIPLE,3.0,3.0,1.0,1.0
COMMON COLD,2.0,14.0,11.0,0.14285714285714285
PNEUMONIA,2.0,13.0,13.0,0.15384615384615385
COMMON COLD CORONAVIRUS,2.0,7.0,,0.2857142857142857
HARM REDUCTION,2.0,3.0,3.0,0.6666666666666666
CHICKENPOX,2.0,2.0,1.0,1.0
DIPHTHERIA,2.0,2.0,2.0,1.0
NUISANCE,2.0,2.0,1.0,1.0
SALMONELLA,2.0,2.0,2.0,1.0
SARS,1.0,416.0,195.0,0.002403846153846154
PUBLIC HEALTH,1.0,111.0,83.0,0.009009009009009009
MERS,1.0,46.0,41.0,0.021739130434782608
ZERO COVID,1.0,27.0,,0.037037037037037035
CORONAVIRUS DISEASE,1.0,11.0,,0.09090909090909091
WASTEWATER TEST,1.0,9.0,,0.1111111111111111
SCARLET FEVER,1.0,7.0,,0.14285714285714285
CONTACT TRACING,1.0,5.0,4.0,0.2
BLACK COVID,1.0,2.0,,0.5
LONG COVID PATIENT,1.0,2.0,,0.5
PLAGUE,1.0,2.0,,0.5
BOSTON -AREA COVID WASTEWATER KEEPS CLIMBING,1.0,1.0,,1.0
COMMON COLD CORONAVIRUS IMMUNITY,1.0,1.0,,1.0
COMMON COLD CORONAVIRUS INFECTION,1.0,1.0,,1.0
COMMON COLD CORONAVIRUS REPLICATION,1.0,1.0,,1.0
COMMON COLD CORONAVIRUS RESISTANCE,1.0,1.0,,1.0
CORONAVIRUS BREATH,1.0,1.0,,1.0
CORONAVIRUS INFECTIOUS DISEASE,1.0,1.0,,1.0
COVID COVID,1.0,1.0,,1.0
EXTRA COVID,1.0,1.0,,1.0
HEPATITIS B VIRUS,1.0,1.0,,1.0
LONG COVID CLINICS,1.0,1.0,,1.0
LONG COVID RESEARCH,1.0,1.0,,1.0
MUMPS,1.0,1.0,1.0,1.0
PREDICT POOR COVID,1.0,1.0,,1.0
PUBLIC HEALTH OFFICER DR.,1.0,1.0,,1.0
RECENT COLD,1.0,1.0,,1.0
WASTEWATER MRNA,1.0,1.0,,1.0
YELLOW FEVER,1.0,1.0,1.0,1.0
BUT... LONG COVID,1.0,0.0,,inf
ADENOVIRUS INFECTION,,,1.0,
COMMUNITY HEALTH,,,1.0,
DISEASE BURDEN,,,1.0,
EBOLA,,,2.0,
HAEMOPHILUS INFLUENZAE,,,1.0,
HEALTH CRISIS,,,1.0,
HEALTH EQUITY,,,1.0,
HEALTH SECURITY,,,3.0,
HEPATITIS A,,,1.0,
NON-PHARMACEUTICAL INTERVENTION,,,3.0,
NOVEL VIRUS,,,3.0,
ONE HEALTH,,,1.0,
RABIES,,,1.0,
RESPIRATORY SYNCYTIAL VIRUS,,,4.0,
RESPIRATORY SYNCYTIAL VIRUS VACCINE,,,1.0,
RESPIRATORY TRACT INFECTION,,,1.0,
RHINOVIRUS,,,3.0,
RUBELLA,,,1.0,
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,,,10.0,
VACCINE EQUITY,,,1.0,
VIRAL LOAD,,,28.0,
VIRUS,,,612.0,
WHOOPING COUGH,,,3.0,
WORLD HEALTH ORGANIZATION,,,10.0,
ZOONOSIS,,,1.0,
