Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
PASTRY,10.0,31.0,12.0,0.3225806451612903
CORNED BEEF,3.0,3.0,3.0,1.0
PUFF PASTRY,2.0,5.0,2.0,0.4
POT PIE,2.0,3.0,3.0,0.6666666666666666
STRAWBERRY CREAM CHEESE ICEBOX CAKE,2.0,2.0,,1.0
CHOUX PASTRY,1.0,5.0,,0.2
CHICKEN MEATBALLS,1.0,2.0,,0.5
BABKA,1.0,1.0,1.0,1.0
HOT DOG,1.0,1.0,1.0,1.0
LEVAIN BAKERY,1.0,1.0,1.0,1.0
MINI PASTEL,1.0,1.0,,1.0
TURNOVER,1.0,1.0,,1.0
VANILLA ICE CREAM,1.0,1.0,,1.0
HALAL CART,,,1.0,
ITALIAN SAUSAGE,,,4.0,
MONKEY BREAD,,,1.0,
SAMOSA,,,1.0,
