Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
BITCOIN,557.0,1195.0,565.0,0.4661087866108787
BITCOIN CASH,358.0,377.0,162.0,0.9496021220159151
DOGE,178.0,1242.0,,0.143317230273752
TETHER,67.0,80.0,42.0,0.8375
ETHEREUM,51.0,75.0,61.0,0.68
\+/U/SODOGETIP 5 DOGE,13.0,13.0,,1.0
DOGECOIN,11.0,96.0,,0.11458333333333333
MONERO,10.0,12.0,11.0,0.8333333333333334
SOLANA,8.0,16.0,,0.5
69,6.0,118.0,,0.05084745762711865
69 DOGE,6.0,64.0,,0.09375
+/U/SODOGETIP 3 DOGE,6.0,6.0,,1.0
RIPPLE,5.0,33.0,,0.15151515151515152
HOGE,4.0,121.0,,0.03305785123966942
COME BACK,4.0,11.0,,0.36363636363636365
42069 DOGE,3.0,56.0,,0.05357142857142857
ALGORAND,3.0,7.0,4.0,0.42857142857142855
CARDANO,3.0,7.0,,0.42857142857142855
COME ON,3.0,6.0,,0.5
DYSFUNCTIONAL SHITCOIN,3.0,6.0,,0.5
ETHEREUM WHALE,3.0,5.0,,0.6
+/U/SODOGETIP 5 DOGE,2.0,15.0,,0.13333333333333333
RBITCOIN,2.0,9.0,,0.2222222222222222
ELECTRON CASH,2.0,4.0,,0.5
MORE DOGE,2.0,3.0,,0.6666666666666666
COME JOIN,2.0,2.0,,1.0
SAFEMOON,2.0,2.0,2.0,1.0
420,1.0,73.0,,0.0136986301369863
STABLECOIN,1.0,38.0,,0.02631578947368421
SHITCOIN,1.0,25.0,,0.04
ANONYMOUS,1.0,9.0,,0.1111111111111111
ALTCOIN,1.0,8.0,,0.125
DOGE = 1 DOGE,1.0,7.0,,0.14285714285714285
BITCOIN BCH,1.0,4.0,,0.25
MYDOGE,1.0,4.0,,0.25
HASH CASH,1.0,3.0,,0.3333333333333333
ETHEREUM CORE DEVELOPER,1.0,2.0,,0.5
GOOD DOGE,1.0,2.0,,0.5
SOLANA AND ALGORAND,1.0,2.0,,0.5
ZCASH,1.0,2.0,2.0,0.5
+/U/SODOGETIP 69.420 DOGE,1.0,1.0,,1.0
ADAM BACK AND NICK SZABO,1.0,1.0,,1.0
ALTCOIN AND SHITCOIN,1.0,1.0,,1.0
ASTROTURFING TETHER,1.0,1.0,,1.0
ATTA DOGE,1.0,1.0,,1.0
BITCOIN CASH AND MONERO,1.0,1.0,,1.0
BITCOIN CASH _OR_ DOGE,1.0,1.0,,1.0
BITCOIN MAGAZINE,1.0,1.0,,1.0
CARDANO AND ALGORAND,1.0,1.0,,1.0
CARDANO ECOSYSTEM,1.0,1.0,,1.0
CASH CASH CASH,1.0,1.0,,1.0
COME BACK .&GT,1.0,1.0,,1.0
COME DATE,1.0,1.0,,1.0
DAY 69,1.0,1.0,,1.0
DOGE DAY 420,1.0,1.0,,1.0
DOGE GOES DOWN,1.0,1.0,,1.0
DYSFUNCTIONAL CRAPCOIN,1.0,1.0,,1.0
ETHEREUM CLASSIC,1.0,1.0,1.0,1.0
GITCOIN,1.0,1.0,,1.0
HEY CARL !+/U/SODOGETIP 10 DOGE,1.0,1.0,,1.0
HEY DUGG,1.0,1.0,,1.0
HOSSEAMINBITCOIN CASH,1.0,1.0,,1.0
MONERO AND ZCASH,1.0,1.0,,1.0
OFFLINE DOGE,1.0,1.0,,1.0
SHIN CHAN,1.0,1.0,,1.0
SOLANA ECOSYSTEM,1.0,1.0,,1.0
STABLECOIN MARKETPLACE,1.0,1.0,,1.0
STABLECOIN SHI,1.0,1.0,,1.0
STABLECOIN TETHER,1.0,1.0,,1.0
STELLAR LUMENS,1.0,1.0,,1.0
TETHER A SHITCOIN,1.0,1.0,,1.0
UNOCOIN,1.0,1.0,,1.0
YESCOIN,1.0,1.0,,1.0
\+/U/SODOGETIP 11 DOGE,1.0,1.0,,1.0
😎BITCOIN,1.0,1.0,,1.0
DOGE / HOGE,1.0,0.0,,inf
R/BITCOIN .RBITCOIN,1.0,0.0,,inf
5G,,,7.0,
BITCOIN ATM,,,1.0,
DAI,,,31.0,
DASH,,,2.0,
DOGE MEME,,,2.0,
INCEL,,,2.0,
KIN,,,423.0,
KSI,,,22.0,
LEET,,,1.0,
LITECOIN,,,1.0,
MEME STOCK,,,1.0,
NANO,,,3.0,
NEO,,,5.0,
PETRO,,,1.0,
SHIBA INU,,,16.0,
SHREK,,,1.0,
SIMP,,,58.0,
STILL ALIVE,,,1.0,
THIS MAN,,,3.0,
TRON,,,81.0,
U MAD,,,6.0,
VERGE,,,1.0,
YOSHI,,,1.0,
