Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
CHRIS ANDERSON,2.0,2.0,,1.0
GOLDMAN SACHS CUTS FORD,1.0,1.0,,1.0
PLAID CARBON CERAMIC BRAKE UPGRADE,1.0,1.0,,1.0
ANDY JASSY,,,2.0,
BETSY DEVOS,,,1.0,
BILL GATES,,,3.0,
DONALD TRUMP,,,2.0,
ED BUCK,,,4.0,
ED POLICY,,,1.0,
ELLEN PAO,,,1.0,
GE LI,,,6.0,
HAN TERRA,,,1.0,
JACK DORSEY,,,5.0,
JAMIE DIMON,,,1.0,
JEFF BEZOS,,,5.0,
MARK ZUCKERBERG,,,5.0,
MASTER P,,,23.0,
NAS,,,49.0,
PING FU,,,2.0,
RICK SCOTT,,,1.0,
RUPERT MURDOCH,,,1.0,
STEVE JOBS,,,1.0,
STEVE WOZNIAK,,,1.0,
TREVOR MILTON,,,1.0,
WARREN BUFFETT,,,2.0,
