Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
ICLOUD,66.0,103.0,82.0,0.6407766990291263
IOS,58.0,609.0,415.0,0.09523809523809523
PIXEL 6,36.0,80.0,60.0,0.45
ANDROID,22.0,346.0,,0.06358381502890173
IPAD,16.0,136.0,,0.11764705882352941
FACE ID,13.0,44.0,35.0,0.29545454545454547
SAFARI,11.0,39.0,,0.28205128205128205
FACETIME,10.0,35.0,19.0,0.2857142857142857
IOS 6,6.0,43.0,35.0,0.13953488372093023
PIXEL 4A,6.0,16.0,16.0,0.375
ONEPLUS 8,5.0,21.0,21.0,0.23809523809523808
REALME GT NEO 2,5.0,15.0,,0.3333333333333333
ONEPLUS 9,5.0,11.0,11.0,0.45454545454545453
MOTOROLA ONE,5.0,5.0,5.0,1.0
IOS 15,4.0,79.0,64.0,0.05063291139240506
PIXEL 5,4.0,55.0,48.0,0.07272727272727272
PIXEL 3A,4.0,17.0,16.0,0.23529411764705882
IPOD TOUCH,4.0,8.0,7.0,0.5
REALME 9,4.0,8.0,,0.5
REALME GT,3.0,33.0,,0.09090909090909091
ONEPLUS NORD,3.0,16.0,15.0,0.1875
TOUCH ID,3.0,16.0,12.0,0.1875
IOS 10,3.0,13.0,13.0,0.23076923076923078
ONEPLUS 8T,3.0,9.0,9.0,0.3333333333333333
REDMI NOTE 11,3.0,7.0,7.0,0.42857142857142855
IOS 7,2.0,34.0,28.0,0.058823529411764705
IOS 5,2.0,28.0,23.0,0.07142857142857142
IPOD,2.0,24.0,17.0,0.08333333333333333
IOS 9,2.0,22.0,19.0,0.09090909090909091
PIXEL 2,2.0,17.0,,0.11764705882352941
ONEPLUS 10,2.0,6.0,,0.3333333333333333
IPAD 1,2.0,5.0,,0.4
IPAD AIR,2.0,5.0,,0.4
SAMSUNG GALAXY A53,2.0,5.0,,0.4
ONEPLUS 10 PRO,2.0,4.0,4.0,0.5
ONEPLUS 7T,2.0,4.0,4.0,0.5
CONTACTS ROW,2.0,2.0,,1.0
OPPO FIND X5,2.0,2.0,,1.0
PIXEL 5A,1.0,36.0,31.0,0.027777777777777776
PIXEL 4,1.0,23.0,21.0,0.043478260869565216
PIXEL 3,1.0,21.0,20.0,0.047619047619047616
IOS 4,1.0,17.0,16.0,0.058823529411764705
LG V60,1.0,15.0,,0.06666666666666667
IOS 16,1.0,13.0,,0.07692307692307693
IOS 14,1.0,12.0,12.0,0.08333333333333333
IPAD 4,1.0,12.0,,0.08333333333333333
MOTO G,1.0,12.0,,0.08333333333333333
WEATHER,1.0,11.0,,0.09090909090909091
REALME GT 2,1.0,10.0,,0.1
MOTO E,1.0,8.0,,0.125
PIXEL 6A,1.0,7.0,,0.14285714285714285
AIRDROP,1.0,6.0,6.0,0.16666666666666666
IPAD PRO,1.0,6.0,,0.16666666666666666
AIRPORT,1.0,5.0,5.0,0.2
IOS 17,1.0,4.0,,0.25
IPAD MINI,1.0,4.0,,0.25
SONY XPERIA 10,1.0,4.0,4.0,0.25
CALCULATOR,1.0,3.0,,0.3333333333333333
FAIRPHONE,1.0,3.0,3.0,0.3333333333333333
PIXEL 4A 5G,1.0,3.0,,0.3333333333333333
APPLE TV,1.0,2.0,2.0,0.5
ESSENTIAL PHONE,1.0,2.0,1.0,0.5
ONEPLUS 5,1.0,2.0,,0.5
ONEPLUS 9 PRO,1.0,2.0,,0.5
REDMI K50,1.0,2.0,2.0,0.5
REDMI NOTE 10,1.0,2.0,2.0,0.5
VIVO X70,1.0,2.0,,0.5
XIAOMI MI 11,1.0,2.0,2.0,0.5
IOS CALENDAR,1.0,1.0,,1.0
IOS NATIVE CALENDAR,1.0,1.0,,1.0
IPAD 1 IOS,1.0,1.0,,1.0
LG MOBILE,1.0,1.0,,1.0
LG OLED TV,1.0,1.0,,1.0
LG V60 THINQ,1.0,1.0,1.0,1.0
MOTO G9 POWER,1.0,1.0,,1.0
NOKIA BECAUSE,1.0,1.0,,1.0
ONEPLUS 10R,1.0,1.0,,1.0
SAMSUNG GALAXY M62,1.0,1.0,,1.0
VIVO 23E,1.0,1.0,,1.0
XCODE,1.0,1.0,1.0,1.0
ZUNE,1.0,1.0,1.0,1.0
,,,5431.0,
1ST,,,5.0,
2,,,1178.0,
