Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
FENTANYL,100.0,183.0,120.0,0.546448087431694
GABAPENTIN,66.0,80.0,70.0,0.825
DIAZEPAM,56.0,61.0,55.0,0.9180327868852459
NICOTINE,51.0,60.0,40.0,0.85
ALPRAZOLAM,39.0,46.0,33.0,0.8478260869565217
HEROIN,37.0,269.0,213.0,0.137546468401487
CODEINE,27.0,78.0,59.0,0.34615384615384615
ALCOHOL,26.0,235.0,,0.11063829787234042
METHADONE,22.0,82.0,57.0,0.2682926829268293
PHENIBUT,20.0,27.0,22.0,0.7407407407407407
SMOKING,18.0,104.0,93.0,0.17307692307692307
LORAZEPAM,15.0,28.0,25.0,0.5357142857142857
CLONAZEPAM,13.0,58.0,,0.22413793103448276
LEAN,10.0,204.0,,0.049019607843137254
SERTRALINE,9.0,9.0,8.0,1.0
PREGABALIN,8.0,17.0,16.0,0.47058823529411764
SYNTHETIC CANNABINOIDS,7.0,7.0,7.0,1.0
SUBOXONE,6.0,194.0,,0.030927835051546393
FLURAZEPAM,6.0,22.0,,0.2727272727272727
ZOLPIDEM,6.0,8.0,7.0,0.75
TRAMADOL,5.0,29.0,28.0,0.1724137931034483
HARM REDUCTION,5.0,21.0,20.0,0.23809523809523808
CLONAZOLAM,5.0,19.0,,0.2631578947368421
DICLAZEPAM,5.0,7.0,,0.7142857142857143
BUPROPION,5.0,5.0,3.0,1.0
MORPHINE,4.0,53.0,40.0,0.07547169811320754
BROMAZOLAM,4.0,30.0,,0.13333333333333333
FLUOXETINE,4.0,6.0,5.0,0.6666666666666666
OXYMORPHONE,4.0,6.0,6.0,0.6666666666666666
KETAMINE,3.0,111.0,76.0,0.02702702702702703
TEMAZEPAM,3.0,23.0,,0.13043478260869565
BUPRENORPHINE,3.0,17.0,11.0,0.17647058823529413
OXAZEPAM,3.0,5.0,,0.6
CLONAZAPAM,3.0,4.0,,0.75
CLONIDINE,2.0,42.0,,0.047619047619047616
OXYCODONE,2.0,40.0,,0.05
RAVE,2.0,33.0,27.0,0.06060606060606061
CAFFEINE,2.0,26.0,,0.07692307692307693
ETIZOLAM,2.0,26.0,,0.07692307692307693
DELORAZEPAM,2.0,10.0,,0.2
NITRAZEPAM,2.0,7.0,,0.2857142857142857
AMITRIPTYLINE,2.0,6.0,1.0,0.3333333333333333
MODAFINIL,2.0,5.0,,0.4
CALCIUM,2.0,4.0,4.0,0.5
TAPENTADOL,2.0,4.0,4.0,0.5
ETONITAZENE,2.0,3.0,3.0,0.6666666666666666
LOPERAMIDE,2.0,3.0,3.0,0.6666666666666666
FLUNITRAZIPAM,2.0,2.0,,1.0
VENLAFAXINE,2.0,2.0,1.0,1.0
PRESCRIB,1.0,189.0,,0.005291005291005291
NICOTIN,1.0,66.0,,0.015151515151515152
OXYCONTIN,1.0,25.0,,0.04
TRAZADONE,1.0,13.0,,0.07692307692307693
TYLENOL,1.0,13.0,,0.07692307692307693
BROMAZEPAM,1.0,9.0,,0.1111111111111111
CLAM,1.0,9.0,,0.1111111111111111
HYDROCODONE,1.0,9.0,9.0,0.1111111111111111
MIDAZOLAM,1.0,8.0,8.0,0.125
ROPINIROLE,1.0,8.0,,0.125
THEANINE,1.0,8.0,,0.125
ISOPROPANOL,1.0,7.0,,0.14285714285714285
NALAXONE,1.0,6.0,,0.16666666666666666
DEXTROMETHORPHAN,1.0,4.0,4.0,0.25
BATH SALTS,1.0,3.0,,0.3333333333333333
DEXTROAMPHETAMINE,1.0,3.0,,0.3333333333333333
FLUNITRAZEPAM,1.0,3.0,3.0,0.3333333333333333
FOCALIN,1.0,3.0,,0.3333333333333333
DIAZAPAM,1.0,2.0,,0.5
L-THEANINE,1.0,2.0,,0.5
SMOKING METHADONE,1.0,2.0,,0.5
5 LORAZEPAM,1.0,1.0,,1.0
ADRAFINIL,1.0,1.0,,1.0
AMITRIPTYLINE COCKTAIL,1.0,1.0,,1.0
ANIME,1.0,1.0,,1.0
ANTI-CARCINOGENIC CANNABINOIDS,1.0,1.0,,1.0
ANYONE SMOKING METHADONE,1.0,1.0,,1.0
ASPIRIN,1.0,1.0,1.0,1.0
ATROPINE,1.0,1.0,1.0,1.0
BONG SMOKING,1.0,1.0,,1.0
BUPRENORPHINE NORBUPRENORPHINE,1.0,1.0,,1.0
CLONAZEPAM IME,1.0,1.0,,1.0
DESOMORPHINE,1.0,1.0,1.0,1.0
DIHYDROCODEINE,1.0,1.0,1.0,1.0
FLUNITAZEPAM,1.0,1.0,,1.0
HALDOL,1.0,1.0,,1.0
HEROIN HEROIN,1.0,1.0,,1.0
LOREZAPAM,1.0,1.0,,1.0
MINOR CANNABINOIDS,1.0,1.0,,1.0
NITRAZOLAM,1.0,1.0,,1.0
POPPERS,1.0,1.0,1.0,1.0
POVIDONE,1.0,1.0,,1.0
SMOKING COCAINE,1.0,1.0,,1.0
SOMEONE SMOKING FENTANYL,1.0,1.0,,1.0
TILINIL,1.0,1.0,,1.0
GABAPENTIN / PREGABALIN,1.0,0.0,,inf
HEROIN / FENTANYL,1.0,0.0,,inf
7-HYDROXYMITRAGYNINE,,,1.0,
ACETIC ACID,,,4.0,
ACRYLFENTANYL,,,2.0,
ADULTERANT,,,1.0,
BAD TRIP,,,8.0,
BIPERIDEN,,,2.0,
CARFENTANIL,,,2.0,
CHASING THE DRAGON,,,1.0,
CHLORINE,,,1.0,
COLD WATER EXTRACTION,,,1.0,
CUTTING AGENT,,,1.0,
DANCESAFE,,,1.0,
DESIGNER DRUG,,,2.0,
DIPHENOXYLATE,,,1.0,
DISCO,,,26.0,
DOCTOR SHOPPING,,,2.0,
DRUG CHECKING,,,1.0,
DRUG CULTURE,,,1.0,
DRUG OVERDOSE,,,2.0,
EPHEDRINE,,,4.0,
EROWID,,,4.0,
ETHYLPHENIDATE,,,7.0,
FREE BASE,,,1.0,
FURANYLFENTANYL,,,1.0,
GLUCOSE,,,3.0,
HAND SANITIZER,,,1.0,
HYDROMORPHONE,,,2.0,
IBUPROFEN,,,18.0,
LEVAMISOLE,,,1.0,
LIDOCAINE,,,4.0,
MANNITOL,,,2.0,
METFORMIN,,,2.0,
METHOTREXATE,,,1.0,
NALOXONE,,,11.0,
NITROUS OXIDE,,,3.0,
NORBUPRENORPHINE,,,2.0,
OMEPRAZOLE,,,1.0,
PARACETAMOL,,,4.0,
PHENOBARBITAL,,,1.0,
PHENYTOIN,,,1.0,
PROPOFOL,,,1.0,
PROPRANOLOL,,,2.0,
RESEARCH CHEMICAL,,,14.0,
RESPONSIBLE DRUG USE,,,1.0,
