Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
PLAYSTATION,75.0,220.0,156.0,0.3409090909090909
XBOX,35.0,1859.0,850.0,0.018827326519634213
XBOX ONE,32.0,171.0,108.0,0.1871345029239766
NINTENDO SWITCH,9.0,59.0,33.0,0.15254237288135594
WII U,5.0,6.0,4.0,0.8333333333333334
PLAYSTATION 4,3.0,18.0,4.0,0.16666666666666666
XBOX SERIES X CONSOLE,3.0,6.0,,0.5
PC I,2.0,16.0,,0.125
DREAMCAST,2.0,6.0,6.0,0.3333333333333333
XBOX SERIES X HALO,2.0,2.0,,1.0
XBOX SERIES X |S,2.0,0.0,,inf
GAMECUBE,1.0,42.0,24.0,0.023809523809523808
PONG,1.0,28.0,21.0,0.03571428571428571
WII,1.0,24.0,14.0,0.041666666666666664
X. I,1.0,22.0,,0.045454545454545456
PLAYSTATION 5,1.0,16.0,,0.0625
DISCOVER,1.0,11.0,10.0,0.09090909090909091
XBOX 360,1.0,8.0,8.0,0.125
BRO I,1.0,5.0,,0.2
PLAYSTATION SO I,1.0,2.0,,0.5
SERIES S. I,1.0,2.0,,0.5
INTELLIVISION,1.0,1.0,1.0,1.0
NINTENDO 3DS,1.0,1.0,1.0,1.0
NINTENDO SWITCH I,1.0,1.0,,1.0
NINTENDO SWITCH OR NINTENDO SWITCH,1.0,1.0,,1.0
PLAYSTATION 3,1.0,1.0,1.0,1.0
PLAYSTATION CONSOLE BUT I,1.0,1.0,,1.0
SERIES X SO I,1.0,1.0,,1.0
SOULSILVER I,1.0,1.0,,1.0
,,,9986.0,
2,,,1890.0,
3,,,1369.0,
4,,,1269.0,
4 PRO,,,6.0,
4 SLIM,,,2.0,
ATARI 5200,,,1.0,
CD-I,,,1.0,
CLASSIC,,,40.0,
CONSOLE,,,417.0,
GAME BOY ADVANCE,,,1.0,
MASTER SYSTEM,,,1.0,
MODELS,,,20.0,
NEW NINTENDO 3DS,,,1.0,
NINTENDO DS,,,1.0,
PLAYSTATION 2,,,2.0,
PLAYSTATION CONSOLE,,,3.0,
PORTABLE,,,10.0,
SEGA GENESIS,,,10.0,
TV,,,163.0,
VITA,,,55.0,
XBOX CONSOLE,,,7.0,
