Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
I REMEMBER,18.0,84.0,,0.21428571428571427
TWENTY - FIVE TWENTY - ONE,15.0,23.0,,0.6521739130434783
SEARCH,12.0,196.0,,0.061224489795918366
MY DRESS - UP DARLING,7.0,14.0,,0.5
CHAOS : 40,7.0,7.0,,1.0
CUTE : 11,6.0,6.0,,1.0
CUTE : 12,6.0,6.0,,1.0
SKETCH,5.0,19.0,16.0,0.2631578947368421
LOVE ALL PLAY,5.0,9.0,7.0,0.5555555555555556
VINCENZO,5.0,5.0,2.0,1.0
HEALER GIRL,4.0,12.0,,0.3333333333333333
I REMEMBER I,4.0,11.0,,0.36363636363636365
TRAPPED IN A DATING SIM : THE WORLD OF OTOME GAMES,4.0,7.0,,0.5714285714285714
CHAOS : 43,4.0,4.0,,1.0
MOVE TO HEAVEN,4.0,4.0,4.0,1.0
KAGUYA WANTS TO BE CONFESSED TO - CHAPTER,4.0,0.0,,inf
KINGDOM,3.0,77.0,,0.03896103896103896
THE WORLD OF OTOME GAMES,3.0,10.0,,0.3
AWESOME !,3.0,8.0,,0.375
NICE !,3.0,6.0,,0.5
CHAPTERS : 64,3.0,3.0,,1.0
CUTE : 17,3.0,3.0,,1.0
IT 'S SHOWTIME !,3.0,0.0,,inf
THE RED SLEEVE,2.0,23.0,19.0,0.08695652173913043
EIGHTY SIX,2.0,21.0,,0.09523809523809523
DATING SIM : THE WORLD OF OTOME GAMES,2.0,7.0,,0.2857142857142857
LOVE LIVE !,2.0,6.0,,0.3333333333333333
THE GREATEST DEMON LORD IS REBORN,2.0,5.0,,0.4
KONO HEALER,2.0,4.0,,0.5
PRINCESS CONNECT !,2.0,4.0,,0.5
MY CHARMS ARE WASTED,2.0,3.0,,0.6666666666666666
CAROLLESS : 1,2.0,2.0,,1.0
CHAOS : 42,2.0,2.0,,1.0
CHAPTERS : 63,2.0,2.0,,1.0
CHAPTERS : 72,2.0,2.0,,1.0
I REMEMBER THERE,2.0,2.0,,1.0
LITTLE BUSTERS !,2.0,2.0,,1.0
MY HEALER,2.0,2.0,,1.0
A GIRL WANTING TO DIE OVER THE SLIGHTEST OF THINGS - ONESHOT,2.0,0.0,,inf
LOVE IS WAR - ULTRA ROMANTIC,2.0,0.0,,inf
LOVE IS WAR - ULTRA ROMANTIC -,2.0,0.0,,inf
LOVE,1.0,1107.0,,0.0009033423667570009
TIME,1.0,1051.0,,0.0009514747859181732
NICE,1.0,227.0,,0.004405286343612335
REMEMBER,1.0,208.0,172.0,0.004807692307692308
BLOOD,1.0,44.0,,0.022727272727272728
HEALER,1.0,38.0,24.0,0.02631578947368421
PUNCH,1.0,31.0,29.0,0.03225806451612903
VINLAND SAGA,1.0,27.0,,0.037037037037037035
DRESS UP DARLING,1.0,26.0,,0.038461538461538464
TWENTY - FIVE TWENTY - ONE**,1.0,17.0,,0.058823529411764705
LOVE AFTER WORLD DOMINATION,1.0,16.0,,0.0625
THE PRINCESS,1.0,12.0,,0.08333333333333333
THREE KINGDOM,1.0,11.0,,0.09090909090909091
VOLUME 3 COVER,1.0,10.0,,0.1
BOARDING SCHOOL JULIET,1.0,8.0,,0.125
I REMEMBER THE,1.0,8.0,,0.125
ALICE,1.0,5.0,,0.2
CHIMERA,1.0,5.0,,0.2
ENJOY !,1.0,5.0,,0.2
IRIS,1.0,5.0,5.0,0.2
MY DAD,1.0,5.0,,0.2
ONE PUNCH,1.0,5.0,,0.2
TONIKAKU KAWAII,1.0,5.0,,0.2
ELAINA,1.0,4.0,,0.25
MY NEXT LIFE AS A VILLAINESS,1.0,4.0,,0.25
OF COURSE !,1.0,4.0,,0.25
SAME !,1.0,4.0,,0.25
THE BLOOD,1.0,4.0,,0.25
DOMESTIC GIRLFRIEND,1.0,3.0,,0.3333333333333333
MALE BEAUTY,1.0,3.0,,0.3333333333333333
MY NEXT LIFE AS A VILLAINESS : ALL ROUTES LEAD TO DOOM !,1.0,3.0,,0.3333333333333333
REDO OF A HEALER,1.0,3.0,,0.3333333333333333
SONIC YOUTH,1.0,3.0,,0.3333333333333333
THE SOUND OF MAGIC,1.0,3.0,3.0,0.3333333333333333
TO BECOME A REAL HEROINE !,1.0,3.0,,0.3333333333333333
YEAH I REMEMBER,1.0,3.0,,0.3333333333333333
A SAINT JOINED MY PARTY,1.0,2.0,,0.5
GOOD CHOICE,1.0,2.0,,0.5
GOOD THOUGHTS,1.0,2.0,,0.5
HAKKENDEN : EIGHT DOGS OF THE EAST,1.0,2.0,,0.5
MASS EFFECT,1.0,2.0,,0.5
MOUSE,1.0,2.0,2.0,0.5
MY JAPANESE,1.0,2.0,,0.5
ROUGH SKETCH SENPAI,1.0,2.0,,0.5
THE EIGHTY - SIXTH STRIKE PACKAGE,1.0,2.0,,0.5
TWENTY - FIVE TWENTY - ONE OR THE RED SLEEVE,1.0,2.0,,0.5
YOU LIKE ME,1.0,2.0,,0.5
10TH HIGHEST GROSSING ANIME FILM OF ALL TIME AROUND THE WORLD,1.0,1.0,,1.0
: MORE THAN HALF OF MEMBERS GLOBALLY WATCHED ANIME LAST YEAR,1.0,1.0,,1.0
A CLIP OF AMERICAN DOG,1.0,1.0,,1.0
A STORY OF A PERSON WHO MADE A LOVER FOR THE FIRST TIME,1.0,1.0,,1.0
ALL AT ONCE,1.0,1.0,,1.0
ALL I REMEMBER DURING THE LAST CHAPTER I REMEMBER,1.0,1.0,,1.0
ALWAYS REMEMBER :,1.0,1.0,,1.0
ASIAN NATIONS LEARN TO LIVE WITH THE VIRUS,1.0,1.0,,1.0
BAKUMATSU BAD BOYS,1.0,1.0,,1.0
BECAUSE YOU LOVE THE RADIO,1.0,1.0,,1.0
BEST ACTOR BECAUSE IMO TWENTY - FIVE TWENTY - ONE OR THE RED SLEEVE DESERVE THE BEST DRAMA,1.0,1.0,,1.0
BOB ODENKIRK SKETCH,1.0,1.0,,1.0
BRILLIANT !,1.0,1.0,,1.0
CAPITALISM ! !,1.0,1.0,,1.0
CAROLLESS : 2,1.0,1.0,,1.0
CAROLLESS : 3,1.0,1.0,,1.0
CHAOS : 39,1.0,1.0,,1.0
CHAOS : 41,1.0,1.0,,1.0
CHAPTERS : 62,1.0,1.0,,1.0
CHAPTERS : 65,1.0,1.0,,1.0
CHAPTERS : 66,1.0,1.0,,1.0
CHAPTERS : 67,1.0,1.0,,1.0
CHAPTERS : 68,1.0,1.0,,1.0
CHAPTERS : 69,1.0,1.0,,1.0
CHAPTERS : 70,1.0,1.0,,1.0
CHAPTERS : 71,1.0,1.0,,1.0
CHARLOTTE,1.0,1.0,,1.0
CLASSIC !,1.0,1.0,,1.0
COMEDY CENTRAL SKETCH,1.0,1.0,,1.0
CRUNCHYROLL TO STREAM SHOOT !,1.0,1.0,,1.0
CRYPTOCURRENCY GURU SENTENCED TO MORE THAN FIVE YEARS,1.0,1.0,,1.0
DARK KINGDOM,1.0,1.0,,1.0
DIGIMON GHOST GAME WILL NOT AIR NEW EPISODES,1.0,1.0,,1.0
DO YOU GET WHAT YOU ARE SAYING ?,1.0,1.0,,1.0
DRESS - UP DARLING !,1.0,1.0,,1.0
EFFECTS FOR ELECTRONIC MUSIC,1.0,1.0,,1.0
EVEN MY HERO ACADEMIA,1.0,1.0,,1.0
FAIROUZ AI JOIN THE DUELERS OF THE UPCOMING YU-GI- OH !,1.0,1.0,,1.0
FROM THE BLACK KNIGHT OF THE ANCIENT CASTLE OF EVIL SPIRITS,1.0,1.0,,1.0
GIRL IS NOT JUST CUTE,1.0,1.0,,1.0
GOLDEN WEEK,1.0,1.0,,1.0
GOOD DAY !,1.0,1.0,,1.0
GOOD MOVE ?,1.0,1.0,,1.0
HAPPY BIRTHDAY !,1.0,1.0,,1.0
HERE WE COME !,1.0,1.0,,1.0
HOKKAIDO GALS ARE SUPER ADORABLE !,1.0,1.0,,1.0
HOUSE MISTRESS,1.0,1.0,,1.0
HOW LONG DO WE CONTINUE BEING MAGICAL GIRLS ?,1.0,1.0,,1.0
I AM THE CENTER,1.0,1.0,,1.0
I BECAME A LEGEND A DECADE LATER AFTER TELLING MY COMRADES TO LEAVE EVERYTHING TO ME,1.0,1.0,,1.0
I CAN SAVE YOU I'LL BE ANYTHING YOU WANT,1.0,1.0,,1.0
I FEEL BAD !,1.0,1.0,,1.0
I HAVE A CHINESE-KOREAN,1.0,1.0,,1.0
I HAVE MINE,1.0,1.0,,1.0
I JUST REMEMBER,1.0,1.0,,1.0
I LOVE YOU !,1.0,1.0,,1.0
I LOVED ROUGH SKETCH SENPAI,1.0,1.0,,1.0
I REMEMBER !,1.0,1.0,,1.0
I REMEMBER BOTH ONE PIECE,1.0,1.0,,1.0
I REMEMBER DOODLING,1.0,1.0,,1.0
I REMEMBER ONE OF THE RADIO,1.0,1.0,,1.0
I REMEMBER READING 1,1.0,1.0,,1.0
I REMEMBER STARTING SOUL EATER,1.0,1.0,,1.0
I REMEMBER STOPPING,1.0,1.0,,1.0
I REMEMBER THE DUB GRICK,1.0,1.0,,1.0
I TRIED TO CONFESS TO A FEMALE EMPLOYEE OF THE COMPANY,1.0,1.0,,1.0
I WANT TO END THE I LOVE YOU GAME,1.0,1.0,,1.0
IF AT FIRST YOU DON'T,1.0,1.0,,1.0
IN ANOTHER WORLD WITH MY SMARTPHONE,1.0,1.0,,1.0
IS PROMOTING ITSELF TO JAPANESE ANIME COMPANIES,1.0,1.0,,1.0
IT LOOKS LIKE MY SON HAS BEEN REINCARNATED INTO ANOTHER WORLD,1.0,1.0,,1.0
JUST SEARCH 4 - KOMA,1.0,1.0,,1.0
KINGDOM S43,1.0,1.0,,1.0
KINGDOM S47,1.0,1.0,,1.0
KINGDOM S48,1.0,1.0,,1.0
LAUNCH TIME : APRIL 6,1.0,1.0,,1.0
LAUNCH TIME : APRIL 8,1.0,1.0,,1.0
LAUNCH TIME : APRIL 9,1.0,1.0,,1.0
LIKE DOMESTIC GIRLFRIEND,1.0,1.0,,1.0
LOOKING THROUGH SOME STUFF,1.0,1.0,,1.0
LOVE AFTER WORLD DOMINATION5,1.0,1.0,,1.0
LOVE AFTER WORLD DOMINATION6,1.0,1.0,,1.0
LOVE ALL PLAY ANIME CASTS NATSUKI HANAE,1.0,1.0,,1.0
MAKING THE NATURE SCENE,1.0,1.0,,1.0
MAKOTO SHINKAI COMMENTS ON HIS NEWEST FILM,1.0,1.0,,1.0
MINE !,1.0,1.0,,1.0
MISTRESS MELIADOUL,1.0,1.0,,1.0
MOVING ON !,1.0,1.0,,1.0
MY DRESS - UP DARLING MANGA SELLS 2 MILLION COPIES,1.0,1.0,,1.0
MY DRESS UP DARLING6,1.0,1.0,,1.0
MY MASTER HAS NO TAIL CHARACTER,1.0,1.0,,1.0
MY MASTER HAS NO TAIL PV,1.0,1.0,,1.0
NEVER LEARN NOT TO LOVE,1.0,1.0,,1.0
NICE MINE,1.0,1.0,,1.0
NOW I REMEMBER ALL THE,1.0,1.0,,1.0
NOW SIXTH !,1.0,1.0,,1.0
OP REMEMBER,1.0,1.0,,1.0
OUR COLLECTIVE DRESS UP DARLING,1.0,1.0,,1.0
PLEASE DO NOT FORGET ME,1.0,1.0,,1.0
POOR AHAREN !,1.0,1.0,,1.0
QUEENS AT HEART,1.0,1.0,,1.0
REMEMBER ?,1.0,1.0,,1.0
REMEMBER KIDS,1.0,1.0,,1.0
REMEMBER SING MY PLEASURE,1.0,1.0,,1.0
REMEMBER WHEN THEO,1.0,1.0,,1.0
REMEMBERING THE OLD DAYS,1.0,1.0,,1.0
SAID TO CONTAIN AN EVIL 9 - TAILED FOX SPIRIT,1.0,1.0,,1.0
SHINPEI ! PANTSU,1.0,1.0,,1.0
SHOULD HAVE CHOSEN DARKNESS KNIGHT !,1.0,1.0,,1.0
SKETCH OF YASUDA,1.0,1.0,,1.0
SOUCE ?,1.0,1.0,,1.0
T : STOP !,1.0,1.0,,1.0
THANKS FRUITS BASKET !,1.0,1.0,,1.0
THE ANGEL NEXT DOOR SPOILS ME ROTTEN NEW VISUAL,1.0,1.0,,1.0
THE BEST OF NOT NECESSARILY THE NEWS,1.0,1.0,,1.0
THE BOY WHO SOMEHOW ENDED UP WORKING IN A MAID CAFE,1.0,1.0,,1.0
THE CLUELESS TRANSFER STUDENT IS ASSERTIVE,1.0,1.0,,1.0
THE COMPLETE AND UTTER HISTORY OF BRITAIN,1.0,1.0,,1.0
THE ECCENTRIC FAMILY ?,1.0,1.0,,1.0
THE EMPRESS ?,1.0,1.0,,1.0
THE EPIC THAT NEVER WAS,1.0,1.0,,1.0
THE GIRL HAS A LOVE FOR ALL THINGS RED,1.0,1.0,,1.0
THE SEVEN DEADLY SINS,1.0,1.0,,1.0
