Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
FOVEATED RENDERING,17.0,20.0,16.0,0.85
MIXED REALITY,10.0,24.0,16.0,0.4166666666666667
OPENXR,8.0,14.0,9.0,0.5714285714285714
GOGGLES,5.0,6.0,5.0,0.8333333333333334
AVATAR,4.0,106.0,,0.03773584905660377
VIRTUAL DESKTOP,2.0,108.0,87.0,0.018518518518518517
INTERNET,1.0,47.0,43.0,0.02127659574468085
GOOGLE EARTH VR,1.0,4.0,,0.25
VIRTUAL WORLD,1.0,4.0,4.0,0.25
UNREAL ENGINE,1.0,3.0,3.0,0.3333333333333333
MIXED BAG,1.0,2.0,,0.5
BASE-REALITY HYPOTHESIS,1.0,1.0,,1.0
ENTERPRISE VR,1.0,1.0,,1.0
IMMERSIVE VR,1.0,1.0,,1.0
LIFELIKE AVATAR,1.0,1.0,,1.0
ONLINE COMMUNITY,1.0,1.0,1.0,1.0
SHADING,1.0,1.0,1.0,1.0
SIMULATION HYPOTHESIS,1.0,1.0,1.0,1.0
TECH VR EXPERIENCE,1.0,1.0,,1.0
VIRTUAL VIDEO GAME WORLD,1.0,1.0,,1.0
COMPUTER SIMULATION,,,1.0,
FLIGHT SIMULATOR,,,1.0,
MIRROR WORLD,,,1.0,
OPENVR,,,4.0,
PHYSX,,,1.0,
REALITY LABS,,,1.0,
ROOM SCALE,,,6.0,
VULKAN,,,2.0,
WINDOWS MIXED REALITY,,,8.0,
