Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
WHY,10.0,185.0,,0.05405405405405406
BLUE CHIPS,6.0,6.0,,1.0
DOPE,5.0,45.0,45.0,0.1111111111111111
D12,5.0,8.0,8.0,0.625
THE STREETS,4.0,9.0,8.0,0.4444444444444444
CHANCE THE RAPPER,3.0,9.0,,0.3333333333333333
WHY ?,3.0,8.0,,0.375
A TRIBE CALLED QUEST,3.0,5.0,5.0,0.6
THE ROOTS,3.0,3.0,3.0,1.0
FUN,2.0,105.0,101.0,0.01904761904761905
LITTLE BROTHER,2.0,4.0,,0.5
BLONDIE,2.0,3.0,3.0,0.6666666666666666
MOBB DEEP,2.0,3.0,3.0,0.6666666666666666
ONYX,2.0,3.0,,0.6666666666666666
RED HOT CHILI PEPPERS,2.0,3.0,3.0,0.6666666666666666
BROCKHAMPTON,2.0,2.0,,1.0
CITY MORGUE,2.0,2.0,2.0,1.0
BLOOD,1.0,18.0,,0.05555555555555555
BLACK STAR,1.0,4.0,,0.25
BAD MEETS EVIL,1.0,3.0,,0.3333333333333333
ATMOSPHERE,1.0,2.0,,0.5
GETO BOYS,1.0,2.0,2.0,0.5
ROBOTS,1.0,2.0,,0.5
TAYLOR ALLDERDICE,1.0,2.0,,0.5
THE COOL KIDS,1.0,2.0,2.0,0.5
THE FIRM,1.0,2.0,,0.5
A QUEST TO THE PHARCYDE,1.0,1.0,,1.0
ARRESTED DEVELOPMENT,1.0,1.0,,1.0
CELLA DWELLAS,1.0,1.0,1.0,1.0
CHILDREN OF THE CORN PRIOR TO DIPLOMATS,1.0,1.0,,1.0
FOREIGNER,1.0,1.0,1.0,1.0
FORT MINOR,1.0,1.0,1.0,1.0
GORILLAZ,1.0,1.0,1.0,1.0
ICE -T,1.0,1.0,,1.0
LIMP BIZKIT,1.0,1.0,1.0,1.0
MAN THE COOL KIDS,1.0,1.0,,1.0
METHYL ETHEL,1.0,1.0,,1.0
NAPPY ROOTS,1.0,1.0,1.0,1.0
NAUGHTY BY NATURE,1.0,1.0,1.0,1.0
ORANGE SODA,1.0,1.0,,1.0
SPILLAGE VILLAGE,1.0,1.0,1.0,1.0
THE GROWING 80S,1.0,1.0,,1.0
