Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
ROOT,22.0,48.0,,0.4583333333333333
GLOOMHAVEN,18.0,20.0,17.0,0.9
WINGSPAN,10.0,13.0,,0.7692307692307693
BORDERLANDS,10.0,11.0,,0.9090909090909091
POKER,8.0,8.0,8.0,1.0
RISK,6.0,38.0,33.0,0.15789473684210525
MONOPOLY,6.0,10.0,6.0,0.6
PARKS,6.0,9.0,,0.6666666666666666
TICKET TO RIDE,5.0,11.0,,0.45454545454545453
PUERTO RICO,5.0,5.0,,1.0
POWER GRID,3.0,4.0,3.0,0.75
SCRABBLE,3.0,3.0,2.0,1.0
ZOMBICIDE,3.0,3.0,2.0,1.0
HEROQUEST,2.0,8.0,3.0,0.25
PINBALL FX,2.0,2.0,2.0,1.0
SAINTS ROW,2.0,2.0,1.0,1.0
DARK,1.0,139.0,,0.007194244604316547
DEAD SPACE,1.0,8.0,,0.125
EVERDELL,1.0,5.0,5.0,0.2
RED DEAD,1.0,4.0,,0.25
MUSK,1.0,3.0,,0.3333333333333333
BANG !,1.0,2.0,,0.5
DEAD SPACE REMAKE,1.0,2.0,,0.5
DIPLOMACY,1.0,2.0,2.0,0.5
STARCRAFT GHOST,1.0,2.0,,0.5
CARMAGEDDON,1.0,1.0,1.0,1.0
DARK ALLIANCE,1.0,1.0,,1.0
DELTA FORCE,1.0,1.0,1.0,1.0
DESCENT JOURNEYS IN THE DARK,1.0,1.0,,1.0
EMERGENCY,1.0,1.0,,1.0
ENDLESS NIGHT !,1.0,1.0,,1.0
I THINK HULK,1.0,1.0,,1.0
LEGENDS ARCEUS,1.0,1.0,,1.0
LEGENDS VOL,1.0,1.0,,1.0
MICROMACRO : CRIME CITY,1.0,1.0,,1.0
MICROMACRO FULL HOUSE,1.0,1.0,,1.0
MYSTERY HOLO,1.0,1.0,,1.0
ONYX PATH,1.0,1.0,,1.0
OUT MASK,1.0,1.0,,1.0
ROBORALLY,1.0,1.0,1.0,1.0
RON SWANSON PARKS,1.0,1.0,,1.0
STONE MASK,1.0,1.0,,1.0
THE MASK,1.0,1.0,,1.0
TICKET TO RIDE PLAY PINK,1.0,1.0,,1.0
TRUMP UNIVERSITY,1.0,1.0,,1.0
ACQUIRE,,,5.0,
BETRAYAL AT HOUSE ON THE HILL,,,1.0,
DRAGOMINO,,,1.0,
EL GRANDE,,,7.0,
HANSA TEUTONICA,,,2.0,
JUNGLE SPEED,,,2.0,
LAST NIGHT ON EARTH,,,1.0,
MEMOIR '44,,,1.0,
MICROMACRO: CRIME CITY,,,1.0,
MULTIPLAYER,,,20.0,
NEXUS OPS,,,1.0,
RIDE,,,30.0,
SACRED,,,1.0,
SUMMONER,,,1.0,
THE CASTLES OF BURGUNDY,,,1.0,
TWILIGHT IMPERIUM,,,3.0,
WIDE WORLD,,,1.0,
