Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
PASTRY,11.0,51.0,21.0,0.21568627450980393
CHICKEN FRIED RICE,5.0,5.0,,1.0
HOT DOG,4.0,10.0,4.0,0.4
PUFF PASTRY,4.0,8.0,5.0,0.5
CORNED BEEF,3.0,3.0,3.0,1.0
TAHINI,2.0,8.0,,0.25
STRAWBERRY CREAM CHEESE ICEBOX CAKE,2.0,2.0,,1.0
CHOUX PASTRY,1.0,6.0,,0.16666666666666666
PASTRAMI,1.0,6.0,5.0,0.16666666666666666
CHOCOLATE CAKE,1.0,3.0,,0.3333333333333333
CHOPPED CILANTRO,1.0,3.0,,0.3333333333333333
ZUCCHINI,1.0,3.0,,0.3333333333333333
PASTRAMI QUEEN,1.0,2.0,,0.5
ST JOSEPH PASTRY,1.0,2.0,,0.5
BABKA,1.0,1.0,1.0,1.0
CHOPPED SALAD,1.0,1.0,,1.0
EGG BAGEL,1.0,1.0,,1.0
MINI PASTEL,1.0,1.0,,1.0
MINI SPICE,1.0,1.0,,1.0
PASTRY CREAM FILLINGINGREDIENTS,1.0,1.0,,1.0
POT PIE,1.0,1.0,1.0,1.0
SHORTCAKE,1.0,1.0,1.0,1.0
SPAGHETTI AND MEATBALLS,1.0,1.0,1.0,1.0
TURNOVER,1.0,1.0,,1.0
CHOPPED CHEESE,,,1.0,
HALAL CART,,,1.0,
ITALIAN SAUSAGE,,,5.0,
MONKEY BREAD,,,1.0,
PASTRAMI ON RYE,,,1.0,
SAMOSA,,,1.0,
