Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
SEARCH,22.0,207.0,,0.10628019323671498
THE HAPPIEST REWATCH,19.0,32.0,,0.59375
KINGDOM,18.0,95.0,,0.18947368421052632
HEALER GIRL,8.0,12.0,,0.6666666666666666
THE KING : ETERNAL MONARCH,8.0,11.0,,0.7272727272727273
VAGABOND,7.0,13.0,8.0,0.5384615384615384
IRIS,6.0,10.0,8.0,0.6
LOVE ALL PLAY,6.0,10.0,8.0,0.6
KONO HEALER,6.0,7.0,,0.8571428571428571
ALL MY LOVE,6.0,6.0,,1.0
SKETCH,5.0,19.0,16.0,0.2631578947368421
MY DRESS - UP DARLING,5.0,14.0,,0.35714285714285715
CRAZY LOVE,5.0,13.0,,0.38461538461538464
DRAMA STAGE S2 : ALL ABOUT MY RIVAL IN LOVE,5.0,5.0,,1.0
VINCENZO,5.0,5.0,2.0,1.0
WATCHER,4.0,77.0,76.0,0.05194805194805195
DRESS UP DARLING,4.0,45.0,,0.08888888888888889
ONE PUNCH MAN,4.0,8.0,,0.5
MY HEALER,4.0,7.0,,0.5714285714285714
REALIST HERO REBUILT THE KINGDOM,4.0,6.0,,0.6666666666666666
A SILENT VOICE,4.0,4.0,,1.0
BAD GUYS : CITY OF EVIL,4.0,4.0,,1.0
D.P.,4.0,4.0,4.0,1.0
DIVINE MOVE 2 : THE WRATHFUL,4.0,4.0,,1.0
S2,3.0,183.0,,0.01639344262295082
HEALER,3.0,50.0,32.0,0.06
LIFE WITH AN ORDINARY GUY WHO REINCARNATED INTO A TOTAL FANTASY KNOCKOUT,3.0,6.0,,0.5
THE SOUND OF MAGIC,3.0,6.0,5.0,0.5
AGAIN MY LIFE,3.0,4.0,4.0,0.75
LOVE OF KILL,3.0,4.0,,0.75
MOVE TO HEAVEN,3.0,4.0,4.0,0.75
LOVE IS WAR - ULTRA ROMANTIC,3.0,0.0,,inf
MINE,2.0,54.0,51.0,0.037037037037037035
LOVE AFTER WORLD DOMINATION,2.0,26.0,,0.07692307692307693
THE WORLD OF OTOME GAMES,2.0,11.0,,0.18181818181818182
VOLUME 1 COVER,2.0,8.0,,0.25
LOVE LIVE !,2.0,7.0,,0.2857142857142857
THE DAWN OF THE WITCH,2.0,7.0,,0.2857142857142857
THE GREATEST DEMON LORD IS REBORN AS A TYPICAL NOBODY,2.0,7.0,,0.2857142857142857
HEALER GIRL*,2.0,6.0,,0.3333333333333333
LITTLE BABY GHOST,2.0,3.0,,0.6666666666666666
A GIRL WANTING TO DIE OVER THE SLIGHTEST,2.0,2.0,,1.0
CHIMERA,2.0,2.0,,1.0
HAPPY BIRTHDAY !,2.0,2.0,,1.0
I THINK THE GLITCH,2.0,2.0,,1.0
