Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
WINGSPAN,16.0,20.0,,0.8
BORDERLANDS,15.0,15.0,,1.0
GLOOMHAVEN,10.0,16.0,12.0,0.625
ROOT,7.0,14.0,,0.5
TICKET TO RIDE,6.0,12.0,,0.5
MONOPOLY,5.0,11.0,9.0,0.45454545454545453
POKER,5.0,5.0,5.0,1.0
ZOMBICIDE,3.0,6.0,4.0,0.5
SCRABBLE,3.0,3.0,2.0,1.0
DARK,2.0,176.0,,0.011363636363636364
RISK,2.0,37.0,33.0,0.05405405405405406
DUNE IMPERIUM,2.0,9.0,,0.2222222222222222
ESCAPE FROM ATLANTIS,2.0,4.0,4.0,0.5
METAL GEAR RISING,2.0,4.0,,0.5
TWILIGHT IMPERIUM,2.0,3.0,3.0,0.6666666666666666
ILLUMINATI,2.0,2.0,2.0,1.0
MYSTERY SERIAL,2.0,2.0,,1.0
NOT GLOOMHAVEN,2.0,2.0,,1.0
SAINTS ROW,2.0,2.0,1.0,1.0
RIDE,1.0,28.0,26.0,0.03571428571428571
METRO,1.0,13.0,,0.07692307692307693
EVERDELL,1.0,5.0,4.0,0.2
PARKS,1.0,4.0,,0.25
A MASK,1.0,3.0,,0.3333333333333333
GOTHIC,1.0,3.0,,0.3333333333333333
TICKET TO RIDE EUROPE,1.0,3.0,,0.3333333333333333
EIDOS MONTREAL,1.0,2.0,,0.5
IS DUNE IMPERIUM,1.0,2.0,,0.5
LABYRINTH,1.0,2.0,,0.5
LORD OF THE RINGS JOURNEYS IN MIDDLE EARTH,1.0,2.0,,0.5
MAJORA'S MASK,1.0,2.0,,0.5
OUT MASK,1.0,2.0,,0.5
RINGS JOURNEYS IN MIDDLE EARTH,1.0,2.0,,0.5
SACRED,1.0,2.0,1.0,0.5
WAR OF MINE,1.0,2.0,,0.5
DEAD RISING,1.0,1.0,,1.0
DESCENT : JOURNEYS IN THE DARK,1.0,1.0,,1.0
DESCENT JOURNEYS IN THE DARK,1.0,1.0,,1.0
EMERGENCY,1.0,1.0,,1.0
ESCAPE ATLANTIS,1.0,1.0,,1.0
GLOOMHAVEN OR GLOOMHAVEN,1.0,1.0,,1.0
HELLBOY,1.0,1.0,1.0,1.0
JAGGED EDGE,1.0,1.0,,1.0
LEGENDS VOL,1.0,1.0,,1.0
MYSTERY CHRONICLES,1.0,1.0,,1.0
MYSTERY INVESTIGATION,1.0,1.0,,1.0
MYSTERY OF JANATRIS,1.0,1.0,,1.0
NINTENDOS,1.0,1.0,,1.0
ONYX PATH,1.0,1.0,,1.0
PAINKILLER,1.0,1.0,1.0,1.0
PINBALL FX,1.0,1.0,1.0,1.0
PUERTO RICO,1.0,1.0,,1.0
ROOT OF THE WINGSPAN PARKS,1.0,1.0,,1.0
STONE MASK,1.0,1.0,,1.0
THE BLACK MIRROR,1.0,1.0,1.0,1.0
THE MASK,1.0,1.0,,1.0
TIMESPLITTERS,1.0,1.0,1.0,1.0
WARHAMMER QUEST,1.0,1.0,1.0,1.0
WE WERE JUST LEARNING AS WE WENT,1.0,1.0,,1.0
WILD ARMS !,1.0,1.0,,1.0
ACQUIRE,,,8.0,
BATTLE PLAN,,,1.0,
DESCENT: JOURNEYS IN THE DARK,,,1.0,
DIPLOMACY,,,3.0,
EL GRANDE,,,7.0,
HANSA TEUTONICA,,,4.0,
HEROQUEST,,,1.0,
LAST NIGHT ON EARTH,,,1.0,
MEMOIR '44,,,1.0,
MULTIPLAYER,,,16.0,
NEXUS OPS,,,1.0,
SUMMONER,,,1.0,
THE CASTLES OF BURGUNDY,,,1.0,
WIDE WORLD,,,1.0,
