Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
PASTRY,5.0,18.0,11.0,0.2777777777777778
PUFF PASTRY,4.0,5.0,2.0,0.8
BABKA,3.0,3.0,3.0,1.0
EVERYTHING BAGEL,2.0,2.0,2.0,1.0
COFFEE ICE CREAM,1.0,3.0,,0.3333333333333333
HOT DOG,1.0,3.0,2.0,0.3333333333333333
HAZELNUT COFFEE CAKE,1.0,2.0,,0.5
BARSZCZ BIALY,1.0,1.0,,1.0
CHICKEN FRIED RICE,1.0,1.0,,1.0
CHICKEN FRIED STEAK NIGHT,1.0,1.0,,1.0
CHOCOLATE GINGERBREAD MINI CAKES,1.0,1.0,,1.0
CHOPPED PEPPERS,1.0,1.0,,1.0
CLAM JUICE,1.0,1.0,,1.0
CONE ICE CREAM,1.0,1.0,,1.0
CORNED BEEF,1.0,1.0,1.0,1.0
EGG FRIED RICE,1.0,1.0,,1.0
MINI COFFEE ICE CREAM,1.0,1.0,,1.0
MINI PASTEL,1.0,1.0,,1.0
SPAGHETTI AND MEATBALLS,1.0,1.0,1.0,1.0
ITALIAN SAUSAGE,,,1.0,
MONKEY BREAD,,,1.0,
PASTRAMI,,,1.0,
SAMOSA,,,2.0,
