Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
BITCOIN,1444.0,2220.0,1411.0,0.6504504504504505
ETHEREUM,275.0,821.0,570.0,0.33495736906211937
MONERO,86.0,99.0,85.0,0.8686868686868687
CARDANO,69.0,96.0,,0.71875
DOGE,62.0,1930.0,,0.03212435233160622
DASH,60.0,159.0,39.0,0.37735849056603776
SOLANA,59.0,77.0,,0.7662337662337663
TETHER,54.0,69.0,42.0,0.782608695652174
RIPPLE,49.0,74.0,,0.6621621621621622
SAFEMOON,23.0,27.0,20.0,0.8518518518518519
ALGORAND,22.0,40.0,21.0,0.55
NANO,16.0,62.0,51.0,0.25806451612903225
LITECOIN,13.0,30.0,26.0,0.43333333333333335
APECOIN,12.0,58.0,,0.20689655172413793
STELLAR,11.0,26.0,,0.4230769230769231
ALTCOIN SHERPA,8.0,8.0,,1.0
ANONYMOUS,7.0,30.0,,0.23333333333333334
BITCOIN CASH,7.0,7.0,7.0,1.0
ETHEREUM ETHEREUM,6.0,6.0,,1.0
69,5.0,44.0,,0.11363636363636363
KUCOIN,5.0,15.0,,0.3333333333333333
ETHEREUM MERGE,5.0,9.0,,0.5555555555555556
BITCONNECT,5.0,6.0,6.0,0.8333333333333334
ETHEREUM CLASSIC,5.0,5.0,4.0,1.0
SHITCOIN,4.0,194.0,,0.020618556701030927
STABLECOIN,4.0,166.0,,0.024096385542168676
DAI,3.0,408.0,329.0,0.007352941176470588
COME ON,3.0,19.0,,0.15789473684210525
ETHEREUM WHALE,3.0,16.0,,0.1875
STABLECOIN ON SOLANA,3.0,4.0,,0.75
ZCASH,3.0,4.0,4.0,0.75
ALTCOIN BUILT ON ETHEREUM,3.0,3.0,,1.0
BITCOIN OR ETHEREUM,3.0,3.0,,1.0
SOLAR BITCOIN,3.0,3.0,,1.0
WORLDCOIN,3.0,3.0,,1.0
NEO,2.0,14.0,10.0,0.14285714285714285
ETHEREUM WHALES,2.0,12.0,,0.16666666666666666
BITCOIN MIAMI,2.0,7.0,,0.2857142857142857
COME ON BTC,2.0,3.0,,0.6666666666666666
ETHEREUM AND SOLANA,2.0,2.0,,1.0
ETHEREUM OR LITECOIN,2.0,2.0,,1.0
FACEBOOKS DIEM,2.0,2.0,,1.0
FLORIDA MAN,2.0,2.0,2.0,1.0
SOLANA AND DOGE,2.0,2.0,,1.0
STABLECOIN CASHIO ON SOLANA,2.0,2.0,,1.0
ED,1.0,17038.0,,5.869233478107759e-05
DOGECOIN,1.0,1626.0,,0.0006150061500615006
CASH,1.0,210.0,,0.004761904761904762
ALTCOIN,1.0,143.0,,0.006993006993006993
420,1.0,73.0,,0.0136986301369863
MEMECOIN,1.0,51.0,,0.0196078431372549
SHIBA INU,1.0,32.0,28.0,0.03125
BITCOIN MINING,1.0,27.0,,0.037037037037037035
COME BACK,1.0,25.0,,0.04
-CAP ALTCOIN,1.0,12.0,,0.08333333333333333
BUTTCOIN,1.0,10.0,,0.1
ETHEREUM RIVAL,1.0,9.0,,0.1111111111111111
JAMES,1.0,5.0,,0.2
ALTCOIN PROJECT,1.0,4.0,,0.25
CARDANO FOUNDER,1.0,4.0,,0.25
COME ONE,1.0,4.0,,0.25
DIEM,1.0,3.0,,0.3333333333333333
FILECOIN,1.0,3.0,3.0,0.3333333333333333
FLORIDA GOVERNOR,1.0,3.0,,0.3333333333333333
LEDGER NANO,1.0,3.0,,0.3333333333333333
MONERO P2P,1.0,3.0,,0.3333333333333333
RIPPLE CO-FOUNDER,1.0,3.0,,0.3333333333333333
SCAMCOIN,1.0,3.0,,0.3333333333333333
ALTCOIN SEASON,1.0,2.0,,0.5
ETHEREUM ALTCOIN,1.0,2.0,,0.5
ETHEREUM FOUNDER,1.0,2.0,,0.5
IOTA,1.0,2.0,,0.5
NXT,1.0,2.0,2.0,0.5
RIPPLE CO-FOUNDER CHRIS LARSEN,1.0,2.0,,0.5
69 ELECTRIC BOOGALOO,1.0,1.0,,1.0
AKOIN,1.0,1.0,1.0,1.0
ALEX CHAN,1.0,1.0,,1.0
ALGO STABLECOIN,1.0,1.0,,1.0
ALTCOIN ECOSYSTEM BUILT ON ETHEREUM,1.0,1.0,,1.0
ALTCOIN WILL OUTPERFORM CRYPTO KING BITCOIN,1.0,1.0,,1.0
AMAZON ACCEPTING DOGECOIN,1.0,1.0,,1.0
ANALYST SAYS ONE ALTCOIN HAS BEST LOOKING CHART,1.0,1.0,,1.0
ANALYST SAYS ONE ETHEREUM RIVAL,1.0,1.0,,1.0
ANTI-BITCOIN,1.0,1.0,,1.0
BAD BOYS,1.0,1.0,,1.0
BANCOR,1.0,1.0,1.0,1.0
BIG FACEPALM,1.0,1.0,,1.0
BITCOIN AND CRYPTO CRASH SAYS ONE ETHEREUM,1.0,1.0,,1.0
BITCOIN CRITICS,1.0,1.0,,1.0
BITCOIN CRYPTOCURRENCY ETHEREUM,1.0,1.0,,1.0
BITCOIN ETHEREUM,1.0,1.0,,1.0
BITCOIN TETHER,1.0,1.0,,1.0
CAP ALTCOIN PROJECT RUNNING ON ETHEREUM,1.0,1.0,,1.0
CAP ALTCOIN REPLACING BITCOIN,1.0,1.0,,1.0
CARDANO AND ALGORAND,1.0,1.0,,1.0
CARDANO AND SOLANA,1.0,1.0,,1.0
CARDANO AND STELLAR,1.0,1.0,,1.0
CARDANO AND ZCASH,1.0,1.0,,1.0
CARDANO FOUNDER TO ETHEREUM,1.0,1.0,,1.0
CARDANO NFT,1.0,1.0,,1.0
CARDANO OVERTHROWS TERRA AND SOLANA,1.0,1.0,,1.0
CASH-TO-BITCOIN MONEY LAUNDERING SCAM,1.0,1.0,,1.0
COME AFTER CRYPTO,1.0,1.0,,1.0
COME ON ETH,1.0,1.0,,1.0
COME ON GUYS,1.0,1.0,,1.0
COME PEOPLE,1.0,1.0,,1.0
CRYPTO ANALYST CALLS ONE ETHEREUM,1.0,1.0,,1.0
CRYPTO TRADER SAYS ONE ETHEREUM,1.0,1.0,,1.0
DAD POOR DAD AUTHOR SAYS ONE ETHEREUM COMPETITOR,1.0,1.0,,1.0
DOGECOIN !+U/SODOGETIP 20 DOGE,1.0,1.0,,1.0
ETHEREUM AND RIPPLE,1.0,1.0,,1.0
ETHEREUM COMMUNITY DISMISSES ONE,1.0,1.0,,1.0
ETHEREUM DIP,1.0,1.0,,1.0
ETHEREUM GAMING ALTCOIN,1.0,1.0,,1.0
ETHEREUM GAMING PROJECT AS BITCOIN,1.0,1.0,,1.0
ETHEREUM MAX,1.0,1.0,,1.0
ETHEREUM METAVERSE ALTCOIN,1.0,1.0,,1.0
ETHEREUM PROTOCOL,1.0,1.0,,1.0
ETHEREUM RIVALS LOOK LIKE WINNERS,1.0,1.0,,1.0
ETHEREUM SCALING ALTCOIN,1.0,1.0,,1.0
ETHEREUM SURGE,1.0,1.0,,1.0
ETHEREUM WHALE CONCENTRATION,1.0,1.0,,1.0
ETHEREUM WHALES POUNCE ON DOGECOIN COMPETITOR SHIBA INU,1.0,1.0,,1.0
JIMMY SONG**HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCEFJVYNIPP8XEIUYFAPCPQW**BITCOIN UNCENSORED**HTTPS://SOUNDCLOUD.COM/BITCOINUNCENSORED**BITCOIN,1.0,1.0,,1.0
LITECOIN AND DOGE,1.0,1.0,,1.0
LITECOIN NFT,1.0,1.0,,1.0
MACRO GURU RAOUL PAL UPDATES ETHEREUM OUTLOOK,1.0,1.0,,1.0
MILKOMEDA CARDANO SIDECHAIN,1.0,1.0,,1.0
MONERO DEV MEETING,1.0,1.0,,1.0
MONERO OR STELLAR,1.0,1.0,,1.0
PRIOR ALTCOIN,1.0,1.0,,1.0
ROBINHOOD DOGE,1.0,1.0,,1.0
SHIBA INU AND DOGE,1.0,1.0,,1.0
SOLANA ECOSYSTEM,1.0,1.0,,1.0
