Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
JACK DORSEY,5.0,7.0,7.0,0.7142857142857143
JIM REED,2.0,4.0,,0.5
CHRIS ANDERSON,2.0,2.0,,1.0
JEFF BROWN,2.0,2.0,,1.0
BARNABY JOYCE,1.0,9.0,,0.1111111111111111
JIM CRAMER,1.0,9.0,9.0,0.1111111111111111
TESLA GIGA BERLIN,1.0,4.0,,0.25
MICHAEL BURRY,1.0,2.0,,0.5
WARREN BUFFETT,1.0,2.0,2.0,0.5
BEN ZOCCO,1.0,1.0,,1.0
BILL GATES,1.0,1.0,1.0,1.0
BILL MAHER,1.0,1.0,,1.0
CHRIS BAILEY,1.0,1.0,,1.0
CHRIS DAWSON,1.0,1.0,,1.0
CHRIS HARTLEY,1.0,1.0,,1.0
CHRIS ULHMANN,1.0,1.0,,1.0
JAMIE DIMON,1.0,1.0,1.0,1.0
JEFF BEZOS,1.0,1.0,1.0,1.0
MICHAEL DELL,1.0,1.0,1.0,1.0
MIKE DABRINSKI,1.0,1.0,,1.0
PLAID CARBON CERAMIC BRAKE UPGRADE,1.0,1.0,,1.0
STEVE HANKE,1.0,1.0,,1.0
TWITTER -TRIGGERED ELONITIS,1.0,1.0,,1.0
N\* SYNC JUSTIN TIMBERLAKE,1.0,0.0,,inf
CARL ICAHN,,,4.0,
DAVID KOCH,,,1.0,
ERIC SPROTT,,,1.0,
GE LI,,,4.0,
MARK ZUCKERBERG,,,3.0,
MARTIN SHKRELI,,,1.0,
PETER THIEL,,,1.0,
PING FU,,,2.0,
RUPERT MURDOCH,,,5.0,
RYAN COHEN,,,5.0,
STEVE BALLMER,,,1.0,
STEVE JOBS,,,2.0,
STEVE WOZNIAK,,,1.0,
TREVOR MILTON,,,1.0,
