Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
ICLOUD,54.0,166.0,65.0,0.3253012048192771
IOS,42.0,384.0,218.0,0.109375
ANDROID,30.0,425.0,,0.07058823529411765
PIXEL 6,12.0,66.0,56.0,0.18181818181818182
FACE ID,11.0,35.0,29.0,0.3142857142857143
IPAD,9.0,73.0,,0.1232876712328767
ONEPLUS 10,6.0,17.0,,0.35294117647058826
SAFARI,5.0,14.0,,0.35714285714285715
VIVO X,5.0,10.0,,0.5
IOS 15,4.0,39.0,29.0,0.10256410256410256
IPAD PRO,4.0,10.0,,0.4
FACETIME,4.0,7.0,4.0,0.5714285714285714
PIXEL 5,3.0,21.0,17.0,0.14285714285714285
VIVO X80,3.0,4.0,,0.75
IPAD 1,3.0,3.0,,1.0
ONEPLUS 9 PRO,3.0,3.0,,1.0
PIXEL 4A,2.0,6.0,6.0,0.3333333333333333
PIXEL 7,2.0,5.0,,0.4
ONEPLUS 8 PRO,2.0,4.0,,0.5
PALM,2.0,4.0,,0.5
PIXEL 3A,2.0,4.0,4.0,0.5
APPLE TV,2.0,3.0,3.0,0.6666666666666666
OPPO FIND N,2.0,3.0,,0.6666666666666666
SURFACE DUO 2,2.0,2.0,,1.0
ONEPLUS 10 R,2.0,0.0,,inf
HEALTH,1.0,50.0,,0.02
PIXEL 3,1.0,15.0,14.0,0.06666666666666667
TOUCH ID,1.0,10.0,8.0,0.1
LG G6,1.0,9.0,9.0,0.1111111111111111
WEATHER,1.0,9.0,,0.1111111111111111
IOS 14,1.0,8.0,7.0,0.125
IPOD,1.0,8.0,6.0,0.125
AIRDROP,1.0,6.0,6.0,0.16666666666666666
ONEPLUS 10R,1.0,6.0,,0.16666666666666666
OPPO FIND,1.0,6.0,,0.16666666666666666
ONEPLUS 9,1.0,5.0,5.0,0.2
IPAD MINI,1.0,4.0,,0.25
CALCULATOR,1.0,3.0,,0.3333333333333333
DXOMARK,1.0,3.0,2.0,0.3333333333333333
ESSENTIAL PHONE,1.0,3.0,2.0,0.3333333333333333
IOS 6,1.0,3.0,2.0,0.3333333333333333
OPPO FIND X,1.0,3.0,3.0,0.3333333333333333
IPAD AIR,1.0,2.0,,0.5
MY LG G6,1.0,2.0,,0.5
BLACKBERRY PASSPORT,1.0,1.0,,1.0
HONOR FLAGSHIP,1.0,1.0,,1.0
HONOR MAGIC,1.0,1.0,,1.0
IPOD TOUCH,1.0,1.0,1.0,1.0
LG OLED TV,1.0,1.0,,1.0
MOTOROLA MOTO G52,1.0,1.0,,1.0
ONEPLUS N100,1.0,1.0,,1.0
OPPO FIND X3,1.0,1.0,1.0,1.0
OPPO FIND X5,1.0,1.0,,1.0
OPPO K10,1.0,1.0,,1.0
PIXEL OS,1.0,1.0,,1.0
REALME 9,1.0,1.0,,1.0
REDMI K50,1.0,1.0,1.0,1.0
REDMI NOTE 11,1.0,1.0,1.0,1.0
ROG 6,1.0,1.0,,1.0
SAMSUNG GALAXY NEXUS,1.0,1.0,,1.0
UNDER-SCREEN FACE ID,1.0,1.0,,1.0
VIVO X60,1.0,1.0,1.0,1.0
VIVO X80/80,1.0,1.0,,1.0
HTC U12 +,1.0,0.0,,inf
,,,5773.0,
1ST,,,4.0,
2,,,1155.0,
3RD,,,15.0,
4TH,,,5.0,
5070,,,3.0,
5TH,,,3.0,
6TH,,,4.0,
7TH,,,1.0,
8TH,,,3.0,
9TH,,,7.0,
A02,,,1.0,
A10,,,1.0,
A13,,,3.0,
A40,,,1.0,
A50,,,1.0,
A51,,,7.0,
A52,,,19.0,
A53 5G,,,1.0,
AIR,,,165.0,
AIR 2,,,1.0,
AIRPLAY,,,5.0,
ANDROID GO,,,1.0,
ANDROID ONE,,,3.0,
APPLE TV APP,,,1.0,
ASUS ZENFONE 8,,,1.0,
FIND MY,,,8.0,
FIND MY PHONE,,,1.0,
FOCUS,,,27.0,
FOCUS S,,,1.0,
FOLD,,,69.0,
GALAXY,,,79.0,
GALAXY A12,,,1.0,
GALAXY A13,,,1.0,
GALAXY A52,,,1.0,
GALAXY FOLD,,,1.0,
GALAXY NEXUS,,,1.0,
GALAXY NOTE 10,,,1.0,
GALAXY R,,,2.0,
GALAXY S,,,33.0,
GALAXY S21,,,1.0,
GALAXY S22,,,9.0,
GALAXY S5,,,3.0,
GALAXY S6,,,2.0,
GALAXY S8,,,1.0,
GALAXY S9,,,4.0,
GAME CENTER,,,1.0,
GOOGLE NEXUS,,,1.0,
GOOGLE PIXEL,,,7.0,
HOMEKIT,,,2.0,
HTC DESIRE,,,1.0,
HTC U12+,,,1.0,
IAD,,,3.0,
IOS 10,,,2.0,
IOS 12,,,4.0,
IOS 13,,,4.0,
IOS 4,,,1.0,
IOS 7,,,7.0,
IOS 8,,,1.0,
IOS 9,,,2.0,
IPSW,,,4.0,
ITUNES,,,26.0,
J6,,,1.0,
J8,,,1.0,
LG G7 THINQ,,,1.0,
LG VELVET,,,2.0,
LG WING,,,1.0,
MICROSOFT LUMIA,,,1.0,
MINI,,,136.0,
MINI 4,,,2.0,
MOTO G 5G,,,1.0,
MOTO G5,,,1.0,
MOTOROLA EDGE,,,3.0,
NEXTBIT ROBIN,,,1.0,
NEXUS 4,,,1.0,
NEXUS 5,,,1.0,
NOTE 10,,,6.0,
NOTE 9,,,1.0,
O2 XDA,,,1.0,
ONEPLUS 10 PRO,,,9.0,
ONEPLUS 6,,,3.0,
ONEPLUS 6T,,,2.0,
ONEPLUS 7,,,1.0,
ONEPLUS 7T,,,1.0,
ONEPLUS 8,,,5.0,
ONEPLUS NORD,,,5.0,
OPHONE,,,11.0,
P1,,,4.0,
PALM PRE,,,2.0,
PHABLET,,,3.0,
PIXEL 4,,,15.0,
PIXEL 5A,,,5.0,
POCO X3,,,1.0,
PRO,,,914.0,
Q-BE,,,1.0,
RAZER PHONE,,,1.0,
REDMI,,,4.0,
REX,,,7.0,
ROG PHONE,,,1.0,
S10,,,25.0,
S21,,,56.0,
S22,,,98.0,
S9,,,5.0,
SMARTPHONE,,,37.0,
SONY ERICSSON P800,,,1.0,
SONY ERICSSON P990,,,1.0,
SONY XPERIA,,,22.0,
SONY XPERIA 1,,,3.0,
SONY XPERIA 1 II,,,2.0,
SONY XPERIA 1 III,,,2.0,
SONY XPERIA 5,,,8.0,
SONY XPERIA 5 II,,,8.0,
SONY XPERIA 5 III,,,8.0,
SONY XPERIA L,,,2.0,
SONY XPERIA M,,,2.0,
SONY XPERIA PRO,,,1.0,
SONY XPERIA PRO-I,,,1.0,
SONY XPERIA Z,,,1.0,
SONY XPERIA Z5,,,1.0,
SONY XPERIA Z5 COMPACT,,,1.0,
SURFACE DUO,,,3.0,
TIZEN,,,2.0,
TVOS,,,1.0,
WINDOWS 10 MOBILE,,,4.0,
WINDOWS PHONE,,,12.0,
WINDOWS PHONE 7,,,2.0,
WINDOWS PHONE 8,,,1.0,
WINDOWS PHONE 8.1,,,1.0,
XIAOMI MI MIX,,,1.0,
XIAOMI MI MIX 2,,,1.0,
XIAOMI MI MIX 2S,,,1.0,
Z FOLD 3,,,3.0,
ZUNE,,,1.0,
