Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
PLAYSTATION,59.0,368.0,137.0,0.16032608695652173
XBOX,49.0,1776.0,795.0,0.02759009009009009
XBOX ONE,34.0,171.0,107.0,0.19883040935672514
NINTENDO SWITCH,7.0,61.0,36.0,0.11475409836065574
WII U,6.0,6.0,4.0,1.0
GAMECUBE,4.0,38.0,22.0,0.10526315789473684
PONG,3.0,50.0,19.0,0.06
PLAYSTATION 4,3.0,21.0,5.0,0.14285714285714285
DREAMCAST,3.0,7.0,7.0,0.42857142857142855
XBOX SERIES X CONSOLE,3.0,4.0,,0.75
INTELLIVISION,3.0,3.0,3.0,1.0
XBOX SERIES X |S,3.0,0.0,,inf
WII,2.0,40.0,28.0,0.05
XBOX 360,2.0,7.0,7.0,0.2857142857142857
SERIES X I,1.0,21.0,,0.047619047619047616
PSX,1.0,20.0,,0.05
X. I,1.0,18.0,,0.05555555555555555
PLAYSTATION 5,1.0,17.0,,0.058823529411764705
NEO GEO,1.0,4.0,,0.25
NINTENDO 3DS,1.0,2.0,2.0,0.5
NINTENDO SWITCH OR NINTENDO SWITCH,1.0,1.0,,1.0
PLAYSTATION 3,1.0,1.0,1.0,1.0
SERIES S. I,1.0,1.0,,1.0
SERIES X SO I,1.0,1.0,,1.0
,,,9011.0,
2,,,1759.0,
3,,,1349.0,
4,,,1185.0,
4 PRO,,,11.0,
4 SLIM,,,1.0,
ATARI 2600,,,1.0,
CD-I,,,1.0,
CLASSIC,,,46.0,
CONSOLE,,,382.0,
DISCOVER,,,10.0,
GAME BOY ADVANCE,,,1.0,
MASTER SYSTEM,,,1.0,
MODELS,,,14.0,
NEW NINTENDO 3DS,,,1.0,
NINTENDO DS,,,1.0,
PLAYSTATION 2,,,2.0,
PLAYSTATION CONSOLE,,,2.0,
PORTABLE,,,11.0,
SEGA GENESIS,,,10.0,
TV,,,160.0,
VITA,,,56.0,
XBOX CONSOLE,,,4.0,
