Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
SEARCH,16.0,249.0,,0.0642570281124498
TWENTY - FIVE TWENTY - ONE,14.0,23.0,,0.6086956521739131
KINGDOM,12.0,83.0,,0.14457831325301204
PANCAKES|3 LUTZ|6 | CROCHET HOOKS |3 CORINNA|6 | HAIR ORNAMENTS |3OTTO|7 | CHOPSTICKS |8BENNO|10 | PAPER,10.0,0.0,,inf
NOW I,8.0,152.0,,0.05263157894736842
HEALER GIRL,8.0,12.0,,0.6666666666666666
DRESS UP DARLING,6.0,48.0,,0.125
THE KING : ETERNAL MONARCH,6.0,9.0,,0.6666666666666666
MY DRESS - UP DARLING,5.0,15.0,,0.3333333333333333
VAGABOND,5.0,13.0,8.0,0.38461538461538464
LOVE LIVE !,5.0,7.0,,0.7142857142857143
IN-HOUSE MATCH,5.0,5.0,,1.0
VINCENZO,5.0,5.0,2.0,1.0
NICE !,4.0,12.0,,0.3333333333333333
MY HEALER,4.0,7.0,,0.5714285714285714
A SHORT DOCUMENTARY,4.0,5.0,,0.8
TO BECOME A REAL HEROINE !,4.0,5.0,,0.8
BAD GUYS : CITY OF EVIL,4.0,4.0,,1.0
DIVINE MOVE 2 : THE WRATHFUL,4.0,4.0,,1.0
DRAMA STAGE S2 : ALL ABOUT MY RIVAL IN LOVE,4.0,4.0,,1.0
KAGUYA WANTS TO BE CONFESSED TO - CHAPTER,4.0,0.0,,inf
THE GREATEST DEMON LORD IS REBORN AS A TYPICAL NOBODY,3.0,9.0,,0.3333333333333333
THE WORLD OF OTOME GAMES,3.0,9.0,,0.3333333333333333
KONO HEALER,3.0,6.0,,0.5
HOW A REALIST HERO REBUILT THE KINGDOM,3.0,5.0,,0.6
DARK WATER / DEATH IN HEAVEN,3.0,3.0,,1.0
MINE,2.0,55.0,50.0,0.03636363636363636
SLOW LOOP,2.0,28.0,,0.07142857142857142
THE RED SLEEVE,2.0,27.0,22.0,0.07407407407407407
DEMON GIRL NEXT DOOR,2.0,13.0,,0.15384615384615385
THE GREATEST DEMON LORD IS REBORN,2.0,10.0,,0.2
IRIS,2.0,9.0,8.0,0.2222222222222222
SHADOWS HOUSE,2.0,9.0,,0.2222222222222222
MOUSE,2.0,7.0,7.0,0.2857142857142857
LOVE ALL PLAY,2.0,6.0,4.0,0.3333333333333333
ONE PUNCH MAN,2.0,5.0,,0.4
STOP MAKING SENSE,2.0,5.0,,0.4
LIFE WITH AN ORDINARY GUY WHO REINCARNATED INTO A TOTAL FANTASY KNOCKOUT,2.0,4.0,,0.5
MY MUTANT CHILDHOOD FRIEND,2.0,4.0,,0.5
PRINCESS CONNECT !,2.0,4.0,,0.5
EMPRESS OF MARS,2.0,3.0,,0.6666666666666666
ABOUT TORCHWOOD MIRACLE DAY,2.0,2.0,,1.0
CAN'T GET YOU OUT OF MY HEAD,2.0,2.0,,1.0
LITTLE BUSTERS !,2.0,2.0,,1.0
RE VAGABOND,2.0,2.0,,1.0
ROBIN WILLIAMS : COME INSIDE MY MIND,2.0,2.0,,1.0
TWENTY - FIVE TWENTY - ONE OR THE RED SLEEVE,2.0,2.0,,1.0
A GIRL WANTING TO DIE OVER THE SLIGHTEST OF THINGS - ONESHOT,2.0,0.0,,inf
HAVE N'T YOU HEARD ?,2.0,0.0,,inf
LIE OF THE LAND / THE PYRAMID AT THE END OF THE WORLD,2.0,0.0,,inf
WHY,1.0,385.0,,0.0025974025974025974
WITCH,1.0,101.0,,0.009900990099009901
HEALER,1.0,50.0,32.0,0.02
BLOOD,1.0,41.0,,0.024390243902439025
MOVING,1.0,32.0,,0.03125
HUNTER,1.0,30.0,,0.03333333333333333
VINLAND SAGA,1.0,29.0,,0.034482758620689655
GOOD THING,1.0,23.0,,0.043478260869565216
BITCH,1.0,13.0,,0.07692307692307693
SOUNDWAVE,1.0,12.0,,0.08333333333333333
THE RISING OF THE SHIELD HERO,1.0,12.0,,0.08333333333333333
VOLUME 3 COVER,1.0,8.0,,0.125
DATE A LIVE IV,1.0,7.0,,0.14285714285714285
BOARDING SCHOOL JULIET,1.0,6.0,,0.16666666666666666
MY NEXT LIFE,1.0,6.0,,0.16666666666666666
THE DAWN OF THE WITCH,1.0,6.0,,0.16666666666666666
TONIKAKU KAWAII,1.0,6.0,,0.16666666666666666
DEATH IN HEAVEN,1.0,5.0,,0.2
DOMESTIC GIRLFRIEND,1.0,5.0,,0.2
REALIST HERO REBUILT THE KINGDOM,1.0,5.0,,0.2
SWEET !,1.0,5.0,,0.2
WHY ?,1.0,5.0,,0.2
CHARLOTTE,1.0,4.0,,0.25
JUST SEARCH,1.0,4.0,,0.25
K- ON !,1.0,4.0,,0.25
MOVE TO HEAVEN,1.0,4.0,4.0,0.25
MR. GYE,1.0,4.0,,0.25
THE STRONGEST SAGE WITH THE WEAKEST CREST,1.0,4.0,,0.25
GOOD CHOICE,1.0,3.0,,0.3333333333333333
GRAVE OF THE FIREFLIES,1.0,3.0,,0.3333333333333333
KILL ME BABY,1.0,3.0,,0.3333333333333333
MY DAD,1.0,3.0,,0.3333333333333333
MY NEXT LIFE AS A VILLAINESS : ALL ROUTES LEAD TO DOOM !,1.0,3.0,,0.3333333333333333
OUR BOY KONGMING,1.0,3.0,,0.3333333333333333
REVISITING THE CASE WHERE A UTAH OFFICER COMMANDS K-9,1.0,3.0,,0.3333333333333333
GOOD LUCK GIRL,1.0,2.0,,0.5
HAKKENDEN : EIGHT DOGS OF THE EAST,1.0,2.0,,0.5
HOW HEAVY ARE THE DUMBBELLS YOU LIFT ?,1.0,2.0,,0.5
HOW TOUGH IS SINGAPORE PRISON LIFE ? | INSIDE MAXIMUM SECURITY,1.0,2.0,,0.5
MORE MAKI,1.0,2.0,,0.5
REDO OF A HEALER,1.0,2.0,,0.5
REVISITING THE CASE WHERE A UTAH OFFICER COMMANDS K-9 TO MAUL COMPLIANT MAN'S FACE,1.0,2.0,,0.5
ROUGH SKETCH SENPAI,1.0,2.0,,0.5
WELCOME BACK !,1.0,2.0,,0.5
WELCOME HOME,1.0,2.0,,0.5
A GOOD MAN GOES TO WAR,1.0,1.0,,1.0
A SHORT DOCUMENTARY REVISITING THE CASE WHERE A UTAH OFFICER COMMANDS K-9 TO MAUL COMPLIANT MAN'S FACE,1.0,1.0,,1.0
AGAIN MY LIFE,1.0,1.0,1.0,1.0
ALL HAIL MUSCLE QUEEN KAGUYA !,1.0,1.0,,1.0
ANIME LIKE MY DRESS UP DARLING,1.0,1.0,,1.0
ANOTHER HEALER MANGA,1.0,1.0,,1.0
ASIAN NATIONS LEARN TO LIVE WITH THE VIRUS,1.0,1.0,,1.0
ATLEAST SLOW LOOP,1.0,1.0,,1.0
AWESOME MAN !,1.0,1.0,,1.0
BAKUMATSU BAD BOYS,1.0,1.0,,1.0
BUYING THE WAR,1.0,1.0,,1.0
CAMILLA : UMEKA SHOUJI,1.0,1.0,,1.0
CRASH LANDING ON YOU,1.0,1.0,1.0,1.0
DAILY LIFE OF MY CHILDHOOD FRIEND,1.0,1.0,,1.0
DEAR ZACHARY : A LETTER TO A SON ABOUT HIS FATHER,1.0,1.0,,1.0
DEFINITELY DRESS UP DARLING,1.0,1.0,,1.0
DO YOU GET WHAT YOU ARE SAYING ?,1.0,1.0,,1.0
DRESS UP DARLING ?,1.0,1.0,,1.0
EDITING : HITOMI SUDO,1.0,1.0,,1.0
EREN YEAGER HAPPY BIRTHDAY VISUAL,1.0,1.0,,1.0
EVEN FEAR HER ?,1.0,1.0,,1.0
EVEN SLOW LOOP,1.0,1.0,,1.0
FEYNMAN : THE QUEST FOR TANNU TUVA,1.0,1.0,,1.0
FIVE FACES OF DARKNESS PART 1,1.0,1.0,,1.0
FROM THE BLACK KNIGHT OF THE ANCIENT CASTLE OF EVIL SPIRITS,1.0,1.0,,1.0
GARDEN SHOPKEEPER : JUNICHI SUWABE,1.0,1.0,,1.0
GIRL IS NOT JUST CUTE,1.0,1.0,,1.0
GIRLS WHO BEHAVE DIFFERENTLY WHEN DATING,1.0,1.0,,1.0
GOOD DAY !,1.0,1.0,,1.0
GOOD LIER,1.0,1.0,,1.0
GOOD MOVE ?,1.0,1.0,,1.0
GOOD TSUNDERBOT,1.0,1.0,,1.0
GREEN CASTLE,1.0,1.0,,1.0
HAPPY BIRTHDAY !,1.0,1.0,,1.0
HERE WE COME !,1.0,1.0,,1.0
HIGHEST GROSSING ANIME FILM OF ALL TIME AROUND THE WORLD,1.0,1.0,,1.0
HOW A REALIST HERO REBUILT THE KINGDOM FINAL THANK,1.0,1.0,,1.0
HOW LONG DO WE CONTINUE BEING MAGICAL GIRLS ?,1.0,1.0,,1.0
I AM YOUR FATHER,1.0,1.0,,1.0
I BECAME A LEGEND A DECADE LATER AFTER TELLING MY COMRADES TO LEAVE EVERYTHING TO ME,1.0,1.0,,1.0
I CAN SAVE YOU I'LL BE ANYTHING YOU WANT,1.0,1.0,,1.0
I CAN'T !,1.0,1.0,,1.0
I HAVE MINE,1.0,1.0,,1.0
I LOVE YOU !,1.0,1.0,,1.0
I LOVE YOU GAME !,1.0,1.0,,1.0
I LOVED ROUGH SKETCH SENPAI,1.0,1.0,,1.0
I WANT TO END THE I LOVE YOU GAME,1.0,1.0,,1.0
IF AT FIRST YOU DON'T,1.0,1.0,,1.0
IS PROMOTING ITSELF TO JAPANESE ANIME COMPANIES,1.0,1.0,,1.0
IT LOOKS LIKE MY SON HAS BEEN REINCARNATED INTO ANOTHER WORLD,1.0,1.0,,1.0
JUST BETWEEN LOVERS AND THE RED SLEEVE,1.0,1.0,,1.0
K- ON ?,1.0,1.0,,1.0
KINGDOM S43,1.0,1.0,,1.0
KINGDOM S47,1.0,1.0,,1.0
KINGDOM S48,1.0,1.0,,1.0
LAUNCH TIME : APRIL 6,1.0,1.0,,1.0
LAUNCH TIME : APRIL 8,1.0,1.0,,1.0
LAUNCH TIME : APRIL 9,1.0,1.0,,1.0
LAW !,1.0,1.0,,1.0
LOVE ALARM,1.0,1.0,1.0,1.0
LOVE WITH THE OLDER GIRL NEXT DOOR,1.0,1.0,,1.0
MADOKA MAGICA ANNUAL REWATCH,1.0,1.0,,1.0
MAKOTO SHINKAI COMMENTS ON HIS NEWEST FILM,1.0,1.0,,1.0
MEETING AGAIN,1.0,1.0,,1.0
MILLIE : MANAKA IWAMI,1.0,1.0,,1.0
MOVING ON !,1.0,1.0,,1.0
MR. ROBOT,1.0,1.0,,1.0
MS. VAMIPRE WHO LIVES NEXT DOOR,1.0,1.0,,1.0
MY DRESS - UP DARLING MANGA,1.0,1.0,,1.0
MY DRESS UP DARLING6,1.0,1.0,,1.0
MY GIRLFRIEND IS A FAITHFUL VIRGIN BITCH,1.0,1.0,,1.0
MY MASTER HAS NO TAIL CHARACTER,1.0,1.0,,1.0
MY MASTER HAS NO TAIL PV,1.0,1.0,,1.0
NEW EPISODES ABOUT 5 MOST POPULAR DUOS,1.0,1.0,,1.0
NEXT COMIKET,1.0,1.0,,1.0
NIJIGASAKI HIGH SCHOOL IDOL CLUB* TRAPPED IN A DATING SIM : THE WORLD OF OTOME GAMES,1.0,1.0,,1.0
NOT THE STRANGER !,1.0,1.0,,1.0
NOW LUFFY,1.0,1.0,,1.0
NOW MAIN,1.0,1.0,,1.0
NOW SIXTH !,1.0,1.0,,1.0
ONE PIECE FILM RED NEW VISUAL,1.0,1.0,,1.0
ONE PIECE FILM RED TEASER TRAILER,1.0,1.0,,1.0
OUR COLLECTIVE DRESS UP DARLING,1.0,1.0,,1.0
PEERLESS BEAUTY SCANS,1.0,1.0,,1.0
PLEASE DO NOT FORGET ME,1.0,1.0,,1.0
PLEASE WASH YOUR HOODIE,1.0,1.0,,1.0
POOR AHAREN !,1.0,1.0,,1.0
PRINCESS CONNECT S26,1.0,1.0,,1.0
PROBLEM DOG,1.0,1.0,,1.0
R.I.P. GILBERT GOTTFRIED,1.0,1.0,,1.0
REMEMBERING THE OLD DAYS,1.0,1.0,,1.0
REVISITING THE CASE SHOWING AN OHIO OFFICER BELITTLING A MAN AFTER ASSAULTING HIM,1.0,1.0,,1.0
REVISITING THE CASE WHERE AN OHIO OFFICER BELITTLES MAN AFTER ASSAULT,1.0,1.0,,1.0
REVISITING THE CASE WHERE BODYCAM SHOWS AN OHIO OFFICER BELITTLING A MAN AFTER ASSAULTING HIM,1.0,1.0,,1.0
REVISITING THE OHIO OFFICER BELITTLING MAN AFTER ASSAULT,1.0,1.0,,1.0
SAID TO CONTAIN AN EVIL 9 - TAILED FOX SPIRIT,1.0,1.0,,1.0
SEARCH ME!ME!ME !,1.0,1.0,,1.0
SECOND : ON ANILIST,1.0,1.0,,1.0
SHAMELESS PROPAGANDA,1.0,1.0,,1.0
SHINPEI ! PANTSU,1.0,1.0,,1.0
SILVER CASTLE,1.0,1.0,,1.0
SOME OF TITANS RETURN,1.0,1.0,,1.0
THE ANGEL NEXT DOOR SPOILS ME ROTTEN NEW VISUAL,1.0,1.0,,1.0
THE BOY WHO SOMEHOW ENDED UP WORKING IN A MAID CAFE,1.0,1.0,,1.0
THE CUTE GIRLFRIEND,1.0,1.0,,1.0
THE ENDING OF THE RED SLEEVE,1.0,1.0,,1.0
THE GIRL FROM THE OTHER SIDE : SIÚIL,1.0,1.0,,1.0
THE GIRL HAS A LOVE FOR ALL THINGS RED,1.0,1.0,,1.0
THE KLUTZY WITCH NEW VISUAL,1.0,1.0,,1.0
THE LOST YEAR IN IRAQ,1.0,1.0,,1.0
THE MAIN CHARACTER IN OTOME ISEKAI,1.0,1.0,,1.0
THE MAJESTIC TALE,1.0,1.0,,1.0
THE MENA CONNECTION,1.0,1.0,,1.0
THE MOST DANGEROUS GAME,1.0,1.0,,1.0
THE NEW YEARS SPECIAL,1.0,1.0,,1.0
THE OUTCOME OF TEACHING THE GUITAR,1.0,1.0,,1.0
THE QUEEN OF VERSAILLES,1.0,1.0,,1.0
THE RISE OF THE UNEMPLOYED WISE MAN,1.0,1.0,,1.0
THE STRONGEST SAGE GOES ON A JOURNEY AGAIN,1.0,1.0,,1.0
THE STRONGEST SAGE WITH THE WEAKEST CREST AND MY DRESS - UP DARLING TOP ABEMA 'S WINTER ANIME POPULARITY RANKINGS,1.0,1.0,,1.0
THE TRILOGY OF THE DOCTOR,1.0,1.0,,1.0
THE WILDERNESS YEARS,1.0,1.0,,1.0
THE WITCH CONTROLS HER AGE AND MAGIC WITH A KISS VOLUME 4 COVER,1.0,1.0,,1.0
THEN VS NOW AND YOUR TAKE,1.0,1.0,,1.0
THIRTY YEARS OF VIRGINITY CAN MAKE YOU A WIZARD,1.0,1.0,,1.0
TOP 10 ANIME OF THE SEASON WINTER 2022,1.0,1.0,,1.0
TWENTY - FIVE TWENTY - ONE AND THE RED SLEEVE,1.0,1.0,,1.0
TWITCH !,1.0,1.0,,1.0
VILLAINOUS DAUGHTER AIMS FOR THE LAST BOSS ANIME VISUAL,1.0,1.0,,1.0
VILLAINOUS DAUGHTER AIMS FOR THE LAST BOSS PV,1.0,1.0,,1.0
VINCENT AND THE DOCTOR,1.0,1.0,,1.0
VLADILENA MILIZE,1.0,1.0,,1.0
WATCH JUJUTSU KAISEN,1.0,1.0,,1.0
WE HAVE OFFICE SLAVE,1.0,1.0,,1.0
WEEKLY SHONEN JUMP ISSUE 19 COVER !,1.0,1.0,,1.0
WEEKLY SHONEN JUMP ISSUE 20 COVER !,1.0,1.0,,1.0
WHERE THE CHILDHOOD FRIEND ABSOLUTELY WILL NOT LOSE,1.0,1.0,,1.0
WHY !,1.0,1.0,,1.0
YOKAI CLAN MY HERO ACADEMIA BLACK CLOVER ONE PUNCH MAN DEMON SLAYER DR. STONEJUJUTSU KAISEN CHAINSAW MAN PRINCE OF TENNISPROMISED NEVERLAND ASSASSINATION CLASSROOM BLUE EXORCIST D. GRAY MAN EYESHIELD,1.0,1.0,,1.0
YOU LIKE ME,1.0,1.0,,1.0
- DID N'T I SAY TO MAKE MY ABILITIES AVERAGE IN THE NEXT LIFE,1.0,0.0,,inf
- KONO HEALER,1.0,0.0,,inf
- THE STORY OF A MANGA ARTIST CONFINED BY A STRANGE HIGH SCHOOL GIRL,1.0,0.0,,inf
- TOMODACHI GAME - COMPANY SLAVE WANTS TO BE HEALED,1.0,0.0,,inf
50 HOURS IN A COUNTRY THAT DOES N'T EXIST ON A MAP,1.0,0.0,,inf
A CORPSE IS BURIED UNDER SAKURAKO 'S FEET,1.0,0.0,,inf
AS IF APRIL FOOLS COULD N'T GET ANY MORE BIZARRE,1.0,0.0,,inf
BEST OF YOU - THE FOO FIGHTERS STORY,1.0,0.0,,inf
BREAKING BAD CHARACTERS !,1.0,0.0,,inf
CONTINUATION : - SLEEPY PRINCESS - NO GAME NO LIFE - ONE PUNCH MAN- RE : ZERO,1.0,0.0,,inf
CRUNCHYROLL : HERE 'S THE EXACT TIME THE RISING OF THE SHIELD HERO,1.0,0.0,,inf
EXECUTIONER AND HER WAY OF LIFE - TRAPPED IN A DATING SIM - HEALER GIRL - BIRDIE WING - DEAIMON- TO BECOME A REAL HEROINE !- DO N’T HURT ME HEALER !,1.0,0.0,,inf
FIVE - EARTHSHOCK ?,1.0,0.0,,inf
HAVE N'T YOU,1.0,0.0,,inf
I HAVE N'T SEEN LOST VOICES,1.0,0.0,,inf
I KNEW YOU 'D COME !,1.0,0.0,,inf
I WAS KICKED OUT OF THE HERO'S PARTY BECAUSE I WAS N'T A TRUE COMPANION SO I DECIDED TO HAVE A SLOW LIFE,1.0,0.0,,inf
I ’D LOVE SHOCKWAVE,1.0,0.0,,inf
INFINITE STRATOS IS IT WRONG TO PICK UP GIRLS IN A DUNGEON IS THE ORDER A RABBIT ?,1.0,0.0,,inf
IT 'S NOT DRESS UP DARLING,1.0,0.0,,inf
K- ON - YUI,1.0,0.0,,inf
KAWAI 'S SKETCH,1.0,0.0,,inf
LET 'S ALL PRETEND WE DIDN'T HEAR THAT,1.0,0.0,,inf
LET 'S BECOME A NOVELIST,1.0,0.0,,inf
LOVE IS WAR - ULTRA ROMANTIC -,1.0,0.0,,inf
LOVE IS WAR - ULTRA ROMANTIC - * THE RISING OF THE SHIELD HERO,1.0,0.0,,inf
LOVE IS WAR - ULTRA ROMANTIC - BEGINS,1.0,0.0,,inf
LOVE IS WAR - ULTRA ROMANTIC- COUNTDOWN ILLUSTRATION,1.0,0.0,,inf
LOVE IS WAR - ULTRA ROMANTIC- NEW COUNTDOWN VISUAL,1.0,0.0,,inf
LOVE LIVE NIJIGASAKI SEASON 2 * HEALER GIRL*,1.0,0.0,,inf
MAY BE SUBJECTIVE BUT : BREAKING BAD,1.0,0.0,,inf
MOVIE TEASER VISUAL - COMING 2023,1.0,0.0,,inf
MY LITTLE SISTER CAN'T BE THIS CUTE - NOUCOME : MY MENTAL CHOICES ARE COMPLETELY INTERFERING WITH MY SCHOOL ROMANTIC COMEDY - I REINCARNATED INTO AN OTOME GAME AS A VILLAINESS WITH ONLY DEATH FLAGS,1.0,0.0,,inf
MY NEW SCHOOL IS A CHILDHOOD FRIEND OF MINE WHO I THOUGHT WAS A BOY - VOLUME 1 COVER,1.0,0.0,,inf
MY RATING : 9/10*** CURRENTLY WATCHING **:** TWENTY - FIVE TWENTY - ONE,1.0,0.0,,inf
MY RATING : 9/10*** ROOKIE COPS,1.0,0.0,,inf
ONE PIECE FILM : RED - NEW KEY VISUAL,1.0,0.0,,inf
REWATCH [ THE HAPPIEST REWATCH,1.0,0.0,,inf
SCHEHERAZADE 'S SECRET,1.0,0.0,,inf
SECOND - TOMB OF THE CYBERMEN,1.0,0.0,,inf
SEVEN - REMEMBRANCE OF THE DALEKS,1.0,0.0,,inf
SKELTER + HEAVEN,1.0,0.0,,inf
SWORD ART ONLINE THE MOVIE - PROGRESSIVE - SCHERZO OF DEEP NIGHT NEW VISUAL,1.0,0.0,,inf
THE DAWN OF THE WITCH * HEROINES RUN THE SHOW * KAGUYA-SAMA : LOVE IS WAR - ULTRA ROMANTIC,1.0,0.0,,inf
THE GREATEST DEMON LORD IS REBORN AS A TYPICAL NOBODY - ONLY,1.0,0.0,,inf
THE LEGEND OF HEROES : TRAILS OF COLD STEEL - NORTHERN WAR NEW VISUAL,1.0,0.0,,inf
THE ONE-EYED PROSTHETIC - LEGGED ANTIQUE TRADER - CHAPTER 3,1.0,0.0,,inf
THE PET GIRL OF SAKURASOU TO LOVE RU TO LOVE RU DARKNESS TO LOVE RU DARKNESS,1.0,0.0,,inf
THE RED SLEEVE - A MASTERPIECE INDEED,1.0,0.0,,inf
TOP 10 MOST ANTICIPATED ANIME - SPRING 2022,1.0,0.0,,inf
TWENTY - FIVE TWENTY - ONE ] ME FANGIRLING OVER OPPAS,1.0,0.0,,inf
WATATEN ! : AN ANGEL FLEW DOWN TO ME - PRECIOUS FRIENDS NEW VISUAL,1.0,0.0,,inf
WE SWORE TO MEET IN THE NEXT LIFE AND THAT 'S WHEN THINGS GOT WEIRD,1.0,0.0,,inf
18 AGAIN,,,1.0,
365: REPEAT THE YEAR,,,1.0,
ABOUT TIME,,,5.0,
ABYSS,,,17.0,
ALL IN,,,63.0,
ALL OF US ARE DEAD,,,2.0,
ARTHDAL CHRONICLES,,,4.0,
AWAKEN,,,10.0,
BABYSITTER,,,1.0,
BAD AND CRAZY,,,1.0,
BAD GUYS,,,8.0,
BIG ISSUE,,,1.0,
BLOODY HEART,,,3.0,
BUSINESS PROPOSAL,,,29.0,
CHIP IN,,,1.0,
CROSS,,,76.0,
D.P.,,,4.0,
DAMO,,,2.0,
DISTORTED,,,4.0,
DOOM AT YOUR SERVICE,,,1.0,
DR. ROMANTIC,,,7.0,
EXTRAORDINARY YOU,,,1.0,
FOREST,,,8.0,
GHOST DOCTOR,,,1.0,
GIANT,,,27.0,
GOOD GIRL,,,2.0,
HER PRIVATE LIFE,,,5.0,
HIDDEN IDENTITY,,,1.0,
HOMETOWN CHA-CHA-CHA,,,9.0,
HOSPITAL PLAYLIST,,,1.0,
IMITATION,,,2.0,
IT'S OKAY TO NOT BE OKAY,,,1.0,
ITAEWON CLASS,,,1.0,
ITEM,,,33.0,
KILL IT,,,1.0,
LAST,,,403.0,
LIVE ON,,,4.0,
LOCAL HERO,,,2.0,
LOVERS OF THE RED SKY,,,5.0,
MEMORIES OF THE ALHAMBRA,,,1.0,
MISSING: THE OTHER SIDE,,,4.0,
MISTRESS,,,3.0,
MISTY,,,2.0,
MONSTROUS,,,3.0,
MORE THAN FRIENDS,,,1.0,
MR. QUEEN,,,6.0,
MY HOLO LOVE,,,2.0,
MY LIBERATION NOTES,,,4.0,
MY MISTER,,,1.0,
MY NAME,,,4.0,
MY STRANGE HERO,,,5.0,
NATURALLY,,,11.0,
NEVERTHELESS,,,3.0,
NO MATTER WHAT,,,7.0,
OH MY LADYLORD,,,1.0,
OUR BELOVED SUMMER,,,4.0,
OUR BLUES,,,5.0,
PERSONA,,,160.0,
PIED PIPER,,,2.0,
PLAYER,,,25.0,
POSSESSED,,,3.0,
PRIEST,,,8.0,
PUNCH,,,32.0,
QUEENDOM,,,4.0,
REMEMBER,,,158.0,
REPLY 1988,,,2.0,
RETURN,,,51.0,
ROOKIE COPS,,,1.0,
RUN ON,,,1.0,
SEARCH: WWW,,,6.0,
SHORT,,,102.0,
SING AGAIN,,,1.0,
SISYPHUS: THE MYTH,,,1.0,
SIXTH SENSE,,,1.0,
SKETCH,,,6.0,
SOMEBODY,,,8.0,
SPONSOR,,,6.0,
STRANGER,,,16.0,
SUSPICIOUS PARTNER,,,5.0,
SWEET HOME,,,5.0,
TELL ME,,,23.0,
TEMPTED,,,7.0,
THE CURSED,,,4.0,
THE DEVIL,,,1.0,
THE END OF THE WORLD,,,4.0,
THE FIERY PRIEST,,,4.0,
THE GUEST,,,5.0,
THE KING'S AFFECTION,,,1.0,
THE KING: ETERNAL MONARCH,,,9.0,
THE SOUND OF MAGIC,,,2.0,
THE TALE OF NOKDU,,,1.0,
THE TIME,,,88.0,
THE UNCANNY COUNTER,,,6.0,
THE VIRUS,,,2.0,
THE WIND BLOWS,,,2.0,
THREE DAYS,,,5.0,
TIMES,,,149.0,
TOP MANAGEMENT,,,1.0,
