Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
MORBIUS,127.0,232.0,174.0,0.5474137931034483
VENOM,96.0,285.0,,0.3368421052631579
ETERNALS,75.0,168.0,134.0,0.44642857142857145
DOCTOR STRANGE,72.0,179.0,,0.4022346368715084
BLACK WIDOW,57.0,86.0,,0.6627906976744186
CAPTAIN MARVEL,47.0,119.0,101.0,0.3949579831932773
GREEN LANTERN,44.0,80.0,60.0,0.55
WONDER WOMAN,39.0,65.0,,0.6
THOR,31.0,670.0,475.0,0.04626865671641791
BLACK PANTHER,25.0,90.0,80.0,0.2777777777777778
FANTASTIC FOUR,25.0,44.0,,0.5681818181818182
THE FLASH,20.0,53.0,43.0,0.37735849056603776
DARK PHOENIX,15.0,31.0,28.0,0.4838709677419355
DOCTOR STRANGE 2,15.0,22.0,,0.6818181818181818
IRON MAN 3,12.0,25.0,24.0,0.48
THE BATMAN,11.0,83.0,76.0,0.13253012048192772
VENOM 2,10.0,12.0,,0.8333333333333334
IRON MAN 2,9.0,21.0,21.0,0.42857142857142855
VENOM 3,8.0,8.0,,1.0
AQUAMAN,7.0,51.0,47.0,0.13725490196078433
BATGIRL,7.0,24.0,19.0,0.2916666666666667
JUSTICE LEAGUE,6.0,73.0,48.0,0.0821917808219178
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS,6.0,69.0,68.0,0.08695652173913043
ANT - MAN,6.0,57.0,,0.10526315789473684
AGENT VENOM,5.0,7.0,,0.7142857142857143
BLACK ADAM,5.0,7.0,6.0,0.7142857142857143
VENOM AND MORBIUS,5.0,6.0,,0.8333333333333334
SHANG - CHI OR THE ETERNALS,5.0,5.0,,1.0
SUICIDE SQUAD,4.0,35.0,33.0,0.11428571428571428
CAPTAIN CARTER,4.0,20.0,,0.2
THOR LOVE AND THUNDER,4.0,14.0,,0.2857142857142857
AVENGERS TOWER,4.0,13.0,,0.3076923076923077
KID FLASH,4.0,6.0,,0.6666666666666666
THOR : GOD OF THUNDER,4.0,3.0,,1.3333333333333333
